Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date.2,Date.3,Date.4,Date.5,Date.6,Date
0,15.630000114440918,15.630000114440918,15.59000015258789,15.59000015258789,15.59000015258789,9729,2023-05-24 09:30:00-04:00,,,,,,
1,15.369999885559082,15.369999885559082,15.369999885559082,15.369999885559082,15.369999885559082,17446,,,,,,,2023-05-30 09:30:00-04:00
2,15.470000267028809,15.539999961853027,15.449999809265137,15.489999771118164,15.489999771118164,1332,,,,,,,2023-05-30 09:32:00-04:00
3,15.60990047454834,15.60990047454834,15.60990047454834,15.60990047454834,15.60990047454834,3246,,,,,,,2023-05-30 09:33:00-04:00
4,15.600000381469727,15.600000381469727,15.600000381469727,15.600000381469727,15.600000381469727,971,,,,,,,2023-05-30 09:35:00-04:00
5,15.59000015258789,15.59000015258789,15.59000015258789,15.59000015258789,15.59000015258789,240,,,,,,,2023-05-30 09:38:00-04:00
6,15.569999694824219,15.600000381469727,15.569999694824219,15.600000381469727,15.600000381469727,3217,,,,,,,2023-05-30 09:39:00-04:00
7,15.521300315856934,15.521300315856934,15.521300315856934,15.521300315856934,15.521300315856934,417,,,,,,,2023-05-30 09:41:00-04:00
8,15.556699752807617,15.5649995803833,15.556699752807617,15.5649995803833,15.5649995803833,1439,,,,,,,2023-05-30 09:43:00-04:00
9,15.529999732971191,15.529999732971191,15.529999732971191,15.529999732971191,15.529999732971191,208,,,,,,,2023-05-30 09:46:00-04:00
10,15.529999732971191,15.529999732971191,15.529999732971191,15.529999732971191,15.529999732971191,210,,,,,,,2023-05-30 09:49:00-04:00
11,15.600000381469727,15.600000381469727,15.600000381469727,15.600000381469727,15.600000381469727,779,,,,,,,2023-05-30 09:50:00-04:00
12,15.609999656677246,15.609999656677246,15.609999656677246,15.609999656677246,15.609999656677246,129,,,,,,,2023-05-30 09:51:00-04:00
13,15.640000343322754,15.640000343322754,15.640000343322754,15.640000343322754,15.640000343322754,144,,,,,,,2023-05-30 09:52:00-04:00
14,15.649999618530273,15.649999618530273,15.609999656677246,15.609999656677246,15.609999656677246,1287,,,,,,,2023-05-30 09:53:00-04:00
15,15.614399909973145,15.614399909973145,15.614399909973145,15.614399909973145,15.614399909973145,436,,,,,,,2023-05-30 09:56:00-04:00
16,15.640000343322754,15.65999984741211,15.640000343322754,15.65999984741211,15.65999984741211,872,,,,,,,2023-05-30 09:59:00-04:00
17,15.699999809265137,15.699999809265137,15.699999809265137,15.699999809265137,15.699999809265137,272,,,,,,,2023-05-30 10:00:00-04:00
18,15.680000305175781,15.680000305175781,15.680000305175781,15.680000305175781,15.680000305175781,505,,,,,,,2023-05-30 10:01:00-04:00
19,15.649999618530273,15.670000076293945,15.649999618530273,15.670000076293945,15.670000076293945,474,,,,,,,2023-05-30 10:02:00-04:00
20,15.630000114440918,15.630000114440918,15.619999885559082,15.619999885559082,15.619999885559082,378,,,,,,,2023-05-30 10:03:00-04:00
21,15.659899711608887,15.65999984741211,15.659899711608887,15.65999984741211,15.65999984741211,442,,,,,,,2023-05-30 10:05:00-04:00
22,15.664999961853027,15.664999961853027,15.664999961853027,15.664999961853027,15.664999961853027,398,,,,,,,2023-05-30 10:07:00-04:00
23,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,1563,,,,,,,2023-05-30 10:11:00-04:00
24,15.620599746704102,15.620599746704102,15.620599746704102,15.620599746704102,15.620599746704102,547,,,,,,,2023-05-30 10:13:00-04:00
25,15.680000305175781,15.699999809265137,15.680000305175781,15.699999809265137,15.699999809265137,1892,,,,,,,2023-05-30 10:16:00-04:00
26,15.680399894714355,15.680399894714355,15.680399894714355,15.680399894714355,15.680399894714355,1464,,,,,,,2023-05-30 10:17:00-04:00
27,15.710000038146973,15.71500015258789,15.680000305175781,15.680000305175781,15.680000305175781,1013,,,,,,,2023-05-30 10:18:00-04:00
28,15.6899995803833,15.710000038146973,15.680000305175781,15.710000038146973,15.710000038146973,1574,,,,,,,2023-05-30 10:19:00-04:00
29,15.720000267028809,15.729999542236328,15.720000267028809,15.729999542236328,15.729999542236328,1176,,,,,,,2023-05-30 10:20:00-04:00
30,15.724200248718262,15.729999542236328,15.6899995803833,15.6899995803833,15.6899995803833,4618,,,,,,,2023-05-30 10:21:00-04:00
31,15.680000305175781,15.680000305175781,15.680000305175781,15.680000305175781,15.680000305175781,218,,,,,,,2023-05-30 10:22:00-04:00
32,15.6899995803833,15.6899995803833,15.6899995803833,15.6899995803833,15.6899995803833,209,,,,,,,2023-05-30 10:23:00-04:00
33,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,733,,,,,,,2023-05-30 10:25:00-04:00
34,15.619999885559082,15.619999885559082,15.609999656677246,15.609999656677246,15.609999656677246,835,,,,,,,2023-05-30 10:27:00-04:00
35,15.59000015258789,15.619999885559082,15.59000015258789,15.619999885559082,15.619999885559082,525,,,,,,,2023-05-30 10:28:00-04:00
36,15.65999984741211,15.65999984741211,15.600000381469727,15.600000381469727,15.600000381469727,330,,,,,,,2023-05-30 10:33:00-04:00
37,15.614999771118164,15.614999771118164,15.614999771118164,15.614999771118164,15.614999771118164,134,,,,,,,2023-05-30 10:34:00-04:00
38,15.614999771118164,15.614999771118164,15.614999771118164,15.614999771118164,15.614999771118164,353,,,,,,,2023-05-30 10:36:00-04:00
39,15.59939956665039,15.59939956665039,15.59939956665039,15.59939956665039,15.59939956665039,208,,,,,,,2023-05-30 10:38:00-04:00
40,15.59689998626709,15.630000114440918,15.59689998626709,15.630000114440918,15.630000114440918,792,,,,,,,2023-05-30 10:40:00-04:00
41,15.612199783325195,15.612199783325195,15.612199783325195,15.612199783325195,15.612199783325195,367,,,,,,,2023-05-30 10:41:00-04:00
42,15.640000343322754,15.640000343322754,15.640000343322754,15.640000343322754,15.640000343322754,662,,,,,,,2023-05-30 10:42:00-04:00
43,15.640000343322754,15.640000343322754,15.640000343322754,15.640000343322754,15.640000343322754,647,,,,,,,2023-05-30 10:44:00-04:00
44,15.630000114440918,15.630000114440918,15.630000114440918,15.630000114440918,15.630000114440918,338,,,,,,,2023-05-30 10:45:00-04:00
45,15.645999908447266,15.645999908447266,15.645999908447266,15.645999908447266,15.645999908447266,1024,,,,,,,2023-05-30 10:47:00-04:00
46,15.630000114440918,15.630000114440918,15.630000114440918,15.630000114440918,15.630000114440918,749,,,,,,,2023-05-30 10:50:00-04:00
47,15.640000343322754,15.640000343322754,15.640000343322754,15.640000343322754,15.640000343322754,306,,,,,,,2023-05-30 10:51:00-04:00
48,15.619999885559082,15.619999885559082,15.600000381469727,15.600000381469727,15.600000381469727,1034,,,,,,,2023-05-30 10:54:00-04:00
49,15.609999656677246,15.609999656677246,15.609999656677246,15.609999656677246,15.609999656677246,778,,,,,,,2023-05-30 11:00:00-04:00
50,15.619999885559082,15.635000228881836,15.619999885559082,15.630000114440918,15.630000114440918,2075,,,,,,,2023-05-30 11:06:00-04:00
51,15.65999984741211,15.65999984741211,15.65999984741211,15.65999984741211,15.65999984741211,819,,,,,,,2023-05-30 11:12:00-04:00
52,15.669899940490723,15.680000305175781,15.669899940490723,15.680000305175781,15.680000305175781,1009,,,,,,,2023-05-30 11:14:00-04:00
