Date,Open,High,Low,Close,Adj Close,Volume
2024-05-15 00:00:00+00:00,2.2963671653997153e-05,2.2963671653997153e-05,2.2963671653997153e-05,2.2963671653997153e-05,2.2963671653997153e-05,0
2024-05-15 00:01:00+00:00,2.297061655553989e-05,2.297061655553989e-05,2.297061655553989e-05,2.297061655553989e-05,2.297061655553989e-05,0
2024-05-15 00:02:00+00:00,2.2975096726440825e-05,2.2975096726440825e-05,2.2975096726440825e-05,2.2975096726440825e-05,2.2975096726440825e-05,0
2024-05-15 00:03:00+00:00,2.299254629178904e-05,2.299254629178904e-05,2.299254629178904e-05,2.299254629178904e-05,2.299254629178904e-05,34752
2024-05-15 00:04:00+00:00,2.3042774046189152e-05,2.3042774046189152e-05,2.3042774046189152e-05,2.3042774046189152e-05,2.3042774046189152e-05,0
2024-05-15 00:05:00+00:00,2.3046019123285078e-05,2.3046019123285078e-05,2.3046019123285078e-05,2.3046019123285078e-05,2.3046019123285078e-05,0
2024-05-15 00:06:00+00:00,2.3046850401442498e-05,2.3046850401442498e-05,2.3046850401442498e-05,2.3046850401442498e-05,2.3046850401442498e-05,0
2024-05-15 00:07:00+00:00,2.3044303816277534e-05,2.3044303816277534e-05,2.3044303816277534e-05,2.3044303816277534e-05,2.3044303816277534e-05,0
2024-05-15 00:08:00+00:00,2.3043003238854e-05,2.3043003238854e-05,2.3043003238854e-05,2.3043003238854e-05,2.3043003238854e-05,0
2024-05-15 00:10:00+00:00,2.3059466911945492e-05,2.3059466911945492e-05,2.3059466911945492e-05,2.3059466911945492e-05,2.3059466911945492e-05,0
2024-05-15 00:11:00+00:00,2.3060018065734766e-05,2.3060018065734766e-05,2.3060018065734766e-05,2.3060018065734766e-05,2.3060018065734766e-05,0
2024-05-15 00:13:00+00:00,2.3065627829055302e-05,2.3065627829055302e-05,2.3065627829055302e-05,2.3065627829055302e-05,2.3065627829055302e-05,0
2024-05-15 00:14:00+00:00,2.3066015273798257e-05,2.3066015273798257e-05,2.3066015273798257e-05,2.3066015273798257e-05,2.3066015273798257e-05,0
2024-05-15 00:15:00+00:00,2.306592978129629e-05,2.306592978129629e-05,2.306592978129629e-05,2.306592978129629e-05,2.306592978129629e-05,0
2024-05-15 00:16:00+00:00,2.3059381419443525e-05,2.3059381419443525e-05,2.3059381419443525e-05,2.3059381419443525e-05,2.3059381419443525e-05,54080
2024-05-15 00:17:00+00:00,2.306110218341928e-05,2.306110218341928e-05,2.306110218341928e-05,2.306110218341928e-05,2.306110218341928e-05,0
2024-05-15 00:19:00+00:00,2.3028083887766115e-05,2.3028083887766115e-05,2.3028083887766115e-05,2.3028083887766115e-05,2.3028083887766115e-05,0
