Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date
0,0.0001074570027412,0.0001074570027412,0.0001074570027412,0.0001074570027412,0.0001074570027412,0,2023-05-23 00:01:00+00:00,
1,0.00010745700274128467,0.00010745700274128467,0.00010745700274128467,0.00010745700274128467,0.00010745700274128467,0,,2023-05-23 00:01:00+00:00
2,0.00010746456973720342,0.00010746456973720342,0.00010746456973720342,0.00010746456973720342,0.00010746456973720342,0,,2023-05-23 00:02:00+00:00
3,0.00010745789768407121,0.00010745789768407121,0.00010745789768407121,0.00010745789768407121,0.00010745789768407121,0,,2023-05-23 00:06:00+00:00
4,0.00010747858323156834,0.00010747858323156834,0.00010747858323156834,0.00010747858323156834,0.00010747858323156834,0,,2023-05-23 00:07:00+00:00
5,0.0001074848769349046,0.0001074848769349046,0.0001074848769349046,0.0001074848769349046,0.0001074848769349046,0,,2023-05-23 00:11:00+00:00
6,0.00010748198837973177,0.00010748198837973177,0.00010748198837973177,0.00010748198837973177,0.00010748198837973177,0,,2023-05-23 00:12:00+00:00
7,0.00010747227497631684,0.00010747227497631684,0.00010747227497631684,0.00010747227497631684,0.00010747227497631684,0,,2023-05-23 00:16:00+00:00
8,0.0001074651227099821,0.0001074651227099821,0.0001074651227099821,0.0001074651227099821,0.0001074651227099821,0,,2023-05-23 00:17:00+00:00
9,0.00010746694897534326,0.00010746694897534326,0.00010746694897534326,0.00010746694897534326,0.00010746694897534326,0,,2023-05-23 00:21:00+00:00
10,0.00010747518535936251,0.00010747518535936251,0.00010747518535936251,0.00010747518535936251,0.00010747518535936251,0,,2023-05-23 00:22:00+00:00
11,0.00010748575004981831,0.00010748575004981831,0.00010748575004981831,0.00010748575004981831,0.00010748575004981831,0,,2023-05-23 00:26:00+00:00
12,0.00010748516069725156,0.00010748516069725156,0.00010748516069725156,0.00010748516069725156,0.00010748516069725156,0,,2023-05-23 00:27:00+00:00
13,0.00010755436233012006,0.00010755436233012006,0.00010755436233012006,0.00010755436233012006,0.00010755436233012006,0,,2023-05-23 00:31:00+00:00
14,0.00010756636038422585,0.00010756636038422585,0.00010756636038422585,0.00010756636038422585,0.00010756636038422585,0,,2023-05-23 00:32:00+00:00
15,0.00010765223123598844,0.00010765223123598844,0.00010765223123598844,0.00010765223123598844,0.00010765223123598844,0,,2023-05-23 00:36:00+00:00
16,0.0001076839689631015,0.0001076839689631015,0.0001076839689631015,0.0001076839689631015,0.0001076839689631015,0,,2023-05-23 00:37:00+00:00
17,0.00010769358777906746,0.00010769358777906746,0.00010769358777906746,0.00010769358777906746,0.00010769358777906746,0,,2023-05-23 00:41:00+00:00
18,0.0001077003325917758,0.0001077003325917758,0.0001077003325917758,0.0001077003325917758,0.0001077003325917758,0,,2023-05-23 00:42:00+00:00
19,0.00010768801439553499,0.00010768801439553499,0.00010768801439553499,0.00010768801439553499,0.00010768801439553499,0,,2023-05-23 00:46:00+00:00
20,0.00010768257197923958,0.00010768257197923958,0.00010768257197923958,0.00010768257197923958,0.00010768257197923958,0,,2023-05-23 00:47:00+00:00
21,0.00010763295722426847,0.00010763295722426847,0.00010763295722426847,0.00010763295722426847,0.00010763295722426847,0,,2023-05-23 00:51:00+00:00
22,0.00010760948498500511,0.00010760948498500511,0.00010760948498500511,0.00010760948498500511,0.00010760948498500511,0,,2023-05-23 00:52:00+00:00
23,0.00010747973283287138,0.00010747973283287138,0.00010747973283287138,0.00010747973283287138,0.00010747973283287138,0,,2023-05-23 00:56:00+00:00
