Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date.2,Date.3,Date.4,Date.5,Date.6,Date.7,Date.8,Date
0,1890.199951171875,1890.199951171875,1874.0,1874.0,1874.0,0,2023-05-24 09:00:00+02:00,,,,,,,,
1,1918.5999755859375,1931.5999755859375,1913.0,1931.5999755859375,1931.5999755859375,0,,,,,,,,,2023-05-31 09:00:00+02:00
2,1930.5999755859375,1930.5999755859375,1925.0,1925.0,1925.0,299,,,,,,,,,2023-05-31 09:01:00+02:00
3,1922.0,1922.0,1919.5999755859375,1920.0,1920.0,140,,,,,,,,,2023-05-31 09:02:00+02:00
4,1920.800048828125,1925.199951171875,1920.800048828125,1925.199951171875,1925.199951171875,54,,,,,,,,,2023-05-31 09:03:00+02:00
5,1923.199951171875,1929.4000244140625,1923.199951171875,1929.4000244140625,1929.4000244140625,1210,,,,,,,,,2023-05-31 09:04:00+02:00
6,1929.199951171875,1931.5999755859375,1925.4000244140625,1929.5999755859375,1929.5999755859375,359,,,,,,,,,2023-05-31 09:05:00+02:00
7,1929.4000244140625,1931.800048828125,1929.4000244140625,1931.800048828125,1931.800048828125,365,,,,,,,,,2023-05-31 09:06:00+02:00
8,1932.5999755859375,1936.800048828125,1932.5999755859375,1936.199951171875,1936.199951171875,119,,,,,,,,,2023-05-31 09:07:00+02:00
9,1936.0,1937.4000244140625,1935.4000244140625,1935.4000244140625,1935.4000244140625,61,,,,,,,,,2023-05-31 09:08:00+02:00
10,1936.0,1936.0,1930.4000244140625,1930.4000244140625,1930.4000244140625,26,,,,,,,,,2023-05-31 09:09:00+02:00
11,1930.0,1931.0,1926.800048828125,1928.800048828125,1928.800048828125,272,,,,,,,,,2023-05-31 09:10:00+02:00
12,1928.5999755859375,1931.800048828125,1928.5999755859375,1931.800048828125,1931.800048828125,87,,,,,,,,,2023-05-31 09:11:00+02:00
13,1930.800048828125,1930.800048828125,1929.199951171875,1930.5999755859375,1930.5999755859375,31,,,,,,,,,2023-05-31 09:12:00+02:00
14,1931.0,1931.800048828125,1930.5999755859375,1930.5999755859375,1930.5999755859375,57,,,,,,,,,2023-05-31 09:13:00+02:00
15,1929.0,1929.199951171875,1927.0,1927.0,1927.0,38,,,,,,,,,2023-05-31 09:14:00+02:00
16,1926.199951171875,1929.800048828125,1926.199951171875,1929.5999755859375,1929.5999755859375,21,,,,,,,,,2023-05-31 09:15:00+02:00
17,1929.199951171875,1932.4000244140625,1928.5999755859375,1932.4000244140625,1932.4000244140625,325,,,,,,,,,2023-05-31 09:16:00+02:00
18,1932.5999755859375,1934.199951171875,1930.5999755859375,1931.199951171875,1931.199951171875,78,,,,,,,,,2023-05-31 09:17:00+02:00
19,1931.0,1932.0,1929.199951171875,1929.4000244140625,1929.4000244140625,76,,,,,,,,,2023-05-31 09:18:00+02:00
20,1929.0,1930.5999755859375,1929.0,1930.5999755859375,1930.5999755859375,116,,,,,,,,,2023-05-31 09:19:00+02:00
21,1930.5999755859375,1931.0,1930.5999755859375,1930.5999755859375,1930.5999755859375,14,,,,,,,,,2023-05-31 09:20:00+02:00
22,1930.800048828125,1930.800048828125,1930.5999755859375,1930.5999755859375,1930.5999755859375,26,,,,,,,,,2023-05-31 09:21:00+02:00
23,1930.199951171875,1930.5999755859375,1926.4000244140625,1926.4000244140625,1926.4000244140625,81,,,,,,,,,2023-05-31 09:22:00+02:00
24,1926.199951171875,1927.4000244140625,1926.0,1926.0,1926.0,49,,,,,,,,,2023-05-31 09:23:00+02:00
25,1927.5999755859375,1930.0,1927.5999755859375,1930.0,1930.0,31,,,,,,,,,2023-05-31 09:24:00+02:00
26,1930.4000244140625,1931.5999755859375,1930.4000244140625,1931.5999755859375,1931.5999755859375,16,,,,,,,,,2023-05-31 09:25:00+02:00
27,1932.199951171875,1934.4000244140625,1931.800048828125,1933.4000244140625,1933.4000244140625,78,,,,,,,,,2023-05-31 09:26:00+02:00
28,1933.800048828125,1936.0,1933.5999755859375,1935.4000244140625,1935.4000244140625,70,,,,,,,,,2023-05-31 09:27:00+02:00
29,1935.0,1938.5999755859375,1935.0,1936.5999755859375,1936.5999755859375,326,,,,,,,,,2023-05-31 09:28:00+02:00
30,1936.0,1936.0,1933.800048828125,1933.800048828125,1933.800048828125,118,,,,,,,,,2023-05-31 09:29:00+02:00
31,1933.5999755859375,1934.0,1933.4000244140625,1933.800048828125,1933.800048828125,54,,,,,,,,,2023-05-31 09:30:00+02:00
32,1930.5999755859375,1930.5999755859375,1928.0,1928.4000244140625,1928.4000244140625,130,,,,,,,,,2023-05-31 09:32:00+02:00
33,1927.5999755859375,1927.5999755859375,1927.4000244140625,1927.5999755859375,1927.5999755859375,134,,,,,,,,,2023-05-31 09:34:00+02:00
34,1927.199951171875,1928.5999755859375,1927.199951171875,1928.5999755859375,1928.5999755859375,33,,,,,,,,,2023-05-31 09:35:00+02:00
35,1928.0,1929.4000244140625,1927.4000244140625,1929.0,1929.0,81,,,,,,,,,2023-05-31 09:36:00+02:00
36,1928.800048828125,1930.199951171875,1928.800048828125,1930.0,1930.0,33,,,,,,,,,2023-05-31 09:37:00+02:00
37,1929.5999755859375,1929.5999755859375,1927.800048828125,1929.0,1929.0,34,,,,,,,,,2023-05-31 09:38:00+02:00
38,1928.199951171875,1929.0,1925.199951171875,1925.5999755859375,1925.5999755859375,376,,,,,,,,,2023-05-31 09:39:00+02:00
39,1925.5999755859375,1927.199951171875,1925.4000244140625,1926.5999755859375,1926.5999755859375,145,,,,,,,,,2023-05-31 09:40:00+02:00
40,1925.800048828125,1927.199951171875,1925.5999755859375,1927.199951171875,1927.199951171875,21,,,,,,,,,2023-05-31 09:41:00+02:00
41,1926.800048828125,1926.800048828125,1924.800048828125,1925.5999755859375,1925.5999755859375,79,,,,,,,,,2023-05-31 09:42:00+02:00
42,1925.5999755859375,1925.800048828125,1924.5999755859375,1925.199951171875,1925.199951171875,187,,,,,,,,,2023-05-31 09:43:00+02:00
43,1925.199951171875,1925.5999755859375,1920.5999755859375,1920.800048828125,1920.800048828125,110,,,,,,,,,2023-05-31 09:44:00+02:00
44,1920.5999755859375,1925.0,1920.5999755859375,1923.199951171875,1923.199951171875,102,,,,,,,,,2023-05-31 09:45:00+02:00
45,1924.199951171875,1924.4000244140625,1921.199951171875,1921.199951171875,1921.199951171875,42,,,,,,,,,2023-05-31 09:46:00+02:00
46,1921.4000244140625,1921.4000244140625,1921.4000244140625,1921.4000244140625,1921.4000244140625,2,,,,,,,,,2023-05-31 09:47:00+02:00
47,1921.800048828125,1923.199951171875,1921.4000244140625,1921.4000244140625,1921.4000244140625,57,,,,,,,,,2023-05-31 09:48:00+02:00
48,1921.4000244140625,1921.4000244140625,1920.5999755859375,1921.0,1921.0,48,,,,,,,,,2023-05-31 09:49:00+02:00
49,1921.4000244140625,1922.199951171875,1918.0,1918.4000244140625,1918.4000244140625,492,,,,,,,,,2023-05-31 09:50:00+02:00
50,1918.5999755859375,1918.800048828125,1917.4000244140625,1918.800048828125,1918.800048828125,74,,,,,,,,,2023-05-31 09:51:00+02:00
51,1919.0,1920.199951171875,1919.0,1919.4000244140625,1919.4000244140625,64,,,,,,,,,2023-05-31 09:52:00+02:00
52,1919.199951171875,1919.199951171875,1919.199951171875,1919.199951171875,1919.199951171875,7,,,,,,,,,2023-05-31 09:53:00+02:00
53,1919.0,1919.199951171875,1918.199951171875,1919.199951171875,1919.199951171875,36,,,,,,,,,2023-05-31 09:54:00+02:00
54,1919.4000244140625,1920.4000244140625,1919.199951171875,1919.4000244140625,1919.4000244140625,41,,,,,,,,,2023-05-31 09:55:00+02:00
55,1919.0,1920.4000244140625,1919.0,1919.5999755859375,1919.5999755859375,66,,,,,,,,,2023-05-31 09:56:00+02:00
56,1919.0,1919.0,1916.4000244140625,1918.0,1918.0,142,,,,,,,,,2023-05-31 09:57:00+02:00
57,1918.199951171875,1918.199951171875,1917.0,1917.0,1917.0,55,,,,,,,,,2023-05-31 09:58:00+02:00
58,1917.0,1917.0,1916.5999755859375,1916.800048828125,1916.800048828125,20,,,,,,,,,2023-05-31 09:59:00+02:00
