Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date.2,Date.3,Date.4,Date.5,Date.6,Date
0,74.9000015258789,75.06999969482422,74.12999725341797,74.1500015258789,74.1500015258789,192727,2023-05-24 09:30:00-04:00,,,,,,
1,80.04000091552734,80.12999725341797,80.01000213623047,80.0199966430664,80.0199966430664,80128,,,,,,,2023-05-30 09:30:00-04:00
2,79.97000122070312,79.97000122070312,79.4000015258789,79.4000015258789,79.4000015258789,12975,,,,,,,2023-05-30 09:31:00-04:00
3,79.36000061035156,79.4000015258789,79.13999938964844,79.25,79.25,19477,,,,,,,2023-05-30 09:32:00-04:00
4,79.25,79.62000274658203,79.25,79.56999969482422,79.56999969482422,5379,,,,,,,2023-05-30 09:33:00-04:00
5,79.625,79.625,79.48999786376953,79.5,79.5,5021,,,,,,,2023-05-30 09:34:00-04:00
6,79.31999969482422,79.4000015258789,79.19000244140625,79.25,79.25,14696,,,,,,,2023-05-30 09:35:00-04:00
7,79.30000305175781,79.30000305175781,78.94999694824219,78.94999694824219,78.94999694824219,14344,,,,,,,2023-05-30 09:36:00-04:00
8,78.93000030517578,78.9800033569336,78.58000183105469,78.58000183105469,78.58000183105469,12601,,,,,,,2023-05-30 09:37:00-04:00
9,78.5999984741211,78.80999755859375,78.58999633789062,78.66999816894531,78.66999816894531,8617,,,,,,,2023-05-30 09:38:00-04:00
10,78.61000061035156,78.9000015258789,78.61000061035156,78.9000015258789,78.9000015258789,9891,,,,,,,2023-05-30 09:39:00-04:00
11,78.87999725341797,79.01000213623047,78.87000274658203,78.94999694824219,78.94999694824219,6756,,,,,,,2023-05-30 09:40:00-04:00
12,78.9000015258789,79.19999694824219,78.875,79.18499755859375,79.18499755859375,19207,,,,,,,2023-05-30 09:41:00-04:00
13,79.22000122070312,79.22000122070312,79.04000091552734,79.0999984741211,79.0999984741211,25543,,,,,,,2023-05-30 09:42:00-04:00
14,79.08000183105469,79.08000183105469,78.7300033569336,78.75,78.75,19979,,,,,,,2023-05-30 09:43:00-04:00
15,78.7699966430664,78.81999969482422,78.62999725341797,78.72000122070312,78.72000122070312,15658,,,,,,,2023-05-30 09:44:00-04:00
16,78.70999908447266,78.70999908447266,78.51000213623047,78.69000244140625,78.69000244140625,20197,,,,,,,2023-05-30 09:45:00-04:00
17,78.68000030517578,78.76499938964844,78.58999633789062,78.61000061035156,78.61000061035156,11982,,,,,,,2023-05-30 09:46:00-04:00
18,78.61000061035156,78.80999755859375,78.55999755859375,78.7300033569336,78.7300033569336,13820,,,,,,,2023-05-30 09:47:00-04:00
19,78.75,78.7699966430664,78.56999969482422,78.5999984741211,78.5999984741211,12590,,,,,,,2023-05-30 09:48:00-04:00
20,78.58000183105469,78.66999816894531,78.55999755859375,78.58000183105469,78.58000183105469,15689,,,,,,,2023-05-30 09:49:00-04:00
21,78.56999969482422,78.62000274658203,78.44000244140625,78.44000244140625,78.44000244140625,22916,,,,,,,2023-05-30 09:50:00-04:00
22,78.41999816894531,78.4800033569336,78.19000244140625,78.19999694824219,78.19999694824219,14003,,,,,,,2023-05-30 09:51:00-04:00
23,78.22000122070312,78.23999786376953,77.97000122070312,78.12000274658203,78.12000274658203,13698,,,,,,,2023-05-30 09:52:00-04:00
24,78.08000183105469,78.12000274658203,77.88999938964844,77.9000015258789,77.9000015258789,20178,,,,,,,2023-05-30 09:53:00-04:00
25,77.9000015258789,78.0199966430664,77.875,77.875,77.875,12694,,,,,,,2023-05-30 09:54:00-04:00
26,77.875,77.91999816894531,77.68000030517578,77.7699966430664,77.7699966430664,22543,,,,,,,2023-05-30 09:55:00-04:00
27,77.77999877929688,78.11000061035156,77.77999877929688,78.09500122070312,78.09500122070312,13760,,,,,,,2023-05-30 09:56:00-04:00
28,78.12000274658203,78.19000244140625,77.87999725341797,77.88999938964844,77.88999938964844,11611,,,,,,,2023-05-30 09:57:00-04:00
29,77.90959930419922,77.93000030517578,77.80999755859375,77.86000061035156,77.86000061035156,14417,,,,,,,2023-05-30 09:58:00-04:00
30,77.87000274658203,78.0,77.8499984741211,77.86000061035156,77.86000061035156,12245,,,,,,,2023-05-30 09:59:00-04:00
31,77.80500030517578,77.91999816894531,77.69000244140625,77.69000244140625,77.69000244140625,24651,,,,,,,2023-05-30 10:00:00-04:00
32,77.69999694824219,77.75,77.4800033569336,77.62999725341797,77.62999725341797,20194,,,,,,,2023-05-30 10:01:00-04:00
33,77.61000061035156,77.61000061035156,77.44999694824219,77.4749984741211,77.4749984741211,9511,,,,,,,2023-05-30 10:02:00-04:00
34,77.44999694824219,77.5,77.33499908447266,77.45500183105469,77.45500183105469,17306,,,,,,,2023-05-30 10:03:00-04:00
35,77.44000244140625,77.54000091552734,77.31999969482422,77.54000091552734,77.54000091552734,30148,,,,,,,2023-05-30 10:04:00-04:00
36,77.54000091552734,77.66999816894531,77.45999908447266,77.66999816894531,77.66999816894531,17907,,,,,,,2023-05-30 10:05:00-04:00
37,77.63500213623047,77.66999816894531,77.55000305175781,77.66999816894531,77.66999816894531,10014,,,,,,,2023-05-30 10:06:00-04:00
38,77.67500305175781,77.75,77.58999633789062,77.62999725341797,77.62999725341797,8431,,,,,,,2023-05-30 10:07:00-04:00
39,77.58999633789062,77.58999633789062,77.5,77.5250015258789,77.5250015258789,10056,,,,,,,2023-05-30 10:08:00-04:00
40,77.48999786376953,77.48999786376953,77.37999725341797,77.41000366210938,77.41000366210938,10476,,,,,,,2023-05-30 10:09:00-04:00
41,77.40499877929688,77.5199966430664,77.40499877929688,77.41999816894531,77.41999816894531,20235,,,,,,,2023-05-30 10:10:00-04:00
42,77.43000030517578,77.47599792480469,77.38999938964844,77.43000030517578,77.43000030517578,12670,,,,,,,2023-05-30 10:11:00-04:00
43,77.41500091552734,77.61000061035156,77.37000274658203,77.61000061035156,77.61000061035156,21159,,,,,,,2023-05-30 10:12:00-04:00
44,77.62000274658203,77.68000030517578,77.58999633789062,77.68000030517578,77.68000030517578,5003,,,,,,,2023-05-30 10:13:00-04:00
45,77.69999694824219,77.69999694824219,77.52999877929688,77.52999877929688,77.52999877929688,4783,,,,,,,2023-05-30 10:14:00-04:00
46,77.56999969482422,77.66000366210938,77.5,77.51000213623047,77.51000213623047,11435,,,,,,,2023-05-30 10:15:00-04:00
47,77.5199966430664,77.58999633789062,77.44999694824219,77.4800033569336,77.4800033569336,6427,,,,,,,2023-05-30 10:16:00-04:00
48,77.5,77.58000183105469,77.5,77.58000183105469,77.58000183105469,8182,,,,,,,2023-05-30 10:17:00-04:00
49,77.5999984741211,77.72000122070312,77.5999984741211,77.72000122070312,77.72000122070312,7291,,,,,,,2023-05-30 10:18:00-04:00
