Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date.2,Date.3,Date
0,115.3499984741211,115.5500030517578,115.0199966430664,115.41000366210938,115.41000366210938,2542482,2023-05-24 09:30:00-04:00,,,
1,115.3499984741211,115.55000305175781,115.0199966430664,115.41000366210938,115.41000366210938,2542482,,,,2023-05-24 09:30:00-04:00
2,115.4000015258789,115.88999938964844,115.37999725341797,115.66000366210938,115.66000366210938,573855,,,,2023-05-24 09:31:00-04:00
3,115.66000366210938,115.75,115.38999938964844,115.52999877929688,115.52999877929688,341506,,,,2023-05-24 09:32:00-04:00
4,115.51619720458984,115.9000015258789,115.4000015258789,115.9000015258789,115.9000015258789,467798,,,,2023-05-24 09:33:00-04:00
5,115.88999938964844,116.19000244140625,115.87999725341797,116.1500015258789,116.1500015258789,536276,,,,2023-05-24 09:34:00-04:00
6,116.12999725341797,116.25,116.05000305175781,116.2300033569336,116.2300033569336,446667,,,,2023-05-24 09:35:00-04:00
7,116.2300033569336,116.55000305175781,116.19499969482422,116.41999816894531,116.41999816894531,548276,,,,2023-05-24 09:36:00-04:00
8,116.41000366210938,116.51000213623047,116.2300033569336,116.51000213623047,116.51000213623047,461109,,,,2023-05-24 09:37:00-04:00
9,116.50150299072266,116.69999694824219,116.33000183105469,116.33999633789062,116.33999633789062,419549,,,,2023-05-24 09:38:00-04:00
10,116.34500122070312,116.4800033569336,116.33999633789062,116.36000061035156,116.36000061035156,202696,,,,2023-05-24 09:39:00-04:00
11,116.37000274658203,116.52999877929688,116.29000091552734,116.33000183105469,116.33000183105469,277726,,,,2023-05-24 09:40:00-04:00
12,116.32669830322266,116.55999755859375,116.32009887695312,116.55000305175781,116.55000305175781,221893,,,,2023-05-24 09:41:00-04:00
13,116.54209899902344,116.7699966430664,116.51010131835938,116.72000122070312,116.72000122070312,413818,,,,2023-05-24 09:42:00-04:00
14,116.72000122070312,116.88999938964844,116.66999816894531,116.79170227050781,116.79170227050781,421665,,,,2023-05-24 09:43:00-04:00
15,116.79180145263672,116.80280303955078,116.52999877929688,116.625,116.625,335413,,,,2023-05-24 09:44:00-04:00
16,116.62000274658203,116.83000183105469,116.47000122070312,116.50589752197266,116.50589752197266,371326,,,,2023-05-24 09:45:00-04:00
17,116.51000213623047,116.69999694824219,116.22000122070312,116.25,116.25,352044,,,,2023-05-24 09:46:00-04:00
18,116.2396011352539,116.33999633789062,116.13999938964844,116.31990051269531,116.31990051269531,333172,,,,2023-05-24 09:47:00-04:00
19,116.30999755859375,116.53500366210938,116.2699966430664,116.48999786376953,116.48999786376953,265826,,,,2023-05-24 09:48:00-04:00
20,116.48400115966797,116.66000366210938,116.27999877929688,116.2833023071289,116.2833023071289,311082,,,,2023-05-24 09:49:00-04:00
21,116.27999877929688,116.38999938964844,116.16000366210938,116.37000274658203,116.37000274658203,247008,,,,2023-05-24 09:50:00-04:00
22,116.36000061035156,116.37999725341797,116.0999984741211,116.19490051269531,116.19490051269531,219198,,,,2023-05-24 09:51:00-04:00
23,116.19999694824219,116.33999633789062,116.12000274658203,116.31300354003906,116.31300354003906,260616,,,,2023-05-24 09:52:00-04:00
24,116.31990051269531,116.41500091552734,116.16500091552734,116.37000274658203,116.37000274658203,266768,,,,2023-05-24 09:53:00-04:00
25,116.375,116.3949966430664,116.23500061035156,116.31999969482422,116.31999969482422,179533,,,,2023-05-24 09:54:00-04:00
26,116.31999969482422,116.5,116.2531967163086,116.375,116.375,346261,,,,2023-05-24 09:55:00-04:00
27,116.375,116.38999938964844,115.87000274658203,115.91999816894531,115.91999816894531,346233,,,,2023-05-24 09:56:00-04:00
28,115.91999816894531,116.30000305175781,115.87999725341797,116.2958984375,116.2958984375,289526,,,,2023-05-24 09:57:00-04:00
29,116.29000091552734,116.36000061035156,116.08999633789062,116.36000061035156,116.36000061035156,215542,,,,2023-05-24 09:58:00-04:00
30,116.36000061035156,116.68000030517578,116.3510971069336,116.57499694824219,116.57499694824219,394753,,,,2023-05-24 09:59:00-04:00
31,116.55999755859375,116.76000213623047,116.51000213623047,116.56999969482422,116.56999969482422,377378,,,,2023-05-24 10:00:00-04:00
32,116.56999969482422,116.56999969482422,116.41999816894531,116.4800033569336,116.4800033569336,170425,,,,2023-05-24 10:01:00-04:00
33,116.4800033569336,116.55000305175781,116.1500015258789,116.1500015258789,116.1500015258789,205762,,,,2023-05-24 10:02:00-04:00
34,116.1510009765625,116.2300033569336,115.95999908447266,116.08989715576172,116.08989715576172,238305,,,,2023-05-24 10:03:00-04:00
35,116.08000183105469,116.19999694824219,115.9800033569336,116.01000213623047,116.01000213623047,222472,,,,2023-05-24 10:04:00-04:00
