Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date.2,Date.3,Date.4,Date.5,Date.6,Date.7,Date
0,201.92999267578125,201.92999267578125,201.2700042724609,201.40499877929688,201.40499877929688,9566,2023-05-24 09:30:00-04:00,,,,,,,
1,194.50999450683594,194.90499877929688,194.13999938964844,194.875,194.875,10393,,,,,,,,2023-05-31 09:30:00-04:00
2,194.8800048828125,195.44439697265625,194.24000549316406,194.49000549316406,194.49000549316406,3033,,,,,,,,2023-05-31 09:31:00-04:00
3,195.44000244140625,195.94000244140625,195.02999877929688,195.10000610351562,195.10000610351562,1527,,,,,,,,2023-05-31 09:32:00-04:00
4,195.48590087890625,195.48590087890625,194.13999938964844,194.47000122070312,194.47000122070312,3681,,,,,,,,2023-05-31 09:33:00-04:00
5,194.38499450683594,194.7100067138672,193.77999877929688,194.3350067138672,194.3350067138672,1089,,,,,,,,2023-05-31 09:34:00-04:00
6,194.02000427246094,194.77000427246094,194.02000427246094,194.6199951171875,194.6199951171875,2264,,,,,,,,2023-05-31 09:35:00-04:00
7,194.60000610351562,194.60000610351562,194.38999938964844,194.59500122070312,194.59500122070312,732,,,,,,,,2023-05-31 09:36:00-04:00
8,194.49000549316406,195.07000732421875,194.49000549316406,195.07000732421875,195.07000732421875,1468,,,,,,,,2023-05-31 09:37:00-04:00
9,195.50990295410156,195.50990295410156,195.50990295410156,195.50990295410156,195.50990295410156,107,,,,,,,,2023-05-31 09:38:00-04:00
10,195.4199981689453,195.4199981689453,194.41000366210938,194.57000732421875,194.57000732421875,9400,,,,,,,,2023-05-31 09:39:00-04:00
11,194.42999267578125,194.42999267578125,194.39999389648438,194.4149932861328,194.4149932861328,464,,,,,,,,2023-05-31 09:40:00-04:00
12,194.60000610351562,194.8300018310547,194.4199981689453,194.7509002685547,194.7509002685547,5277,,,,,,,,2023-05-31 09:41:00-04:00
13,194.77000427246094,194.77000427246094,193.72000122070312,193.99000549316406,193.99000549316406,6607,,,,,,,,2023-05-31 09:42:00-04:00
14,193.72000122070312,193.77000427246094,193.58999633789062,193.72500610351562,193.72500610351562,1968,,,,,,,,2023-05-31 09:43:00-04:00
