Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date.2,Date.3,Date.4,Date.5,Date.6,Date.7,Date
0,88.91000366210938,89.22000122070312,88.91000366210938,89.22000122070312,89.22000122070312,0,2023-05-24 09:30:00-04:00,,,,,,,
1,86.6500015258789,86.6500015258789,86.6500015258789,86.6500015258789,86.6500015258789,8987,,,,,,,,2023-05-31 09:30:00-04:00
2,86.80999755859375,86.91999816894531,86.80999755859375,86.86499786376953,86.86499786376953,2129,,,,,,,,2023-05-31 09:31:00-04:00
3,86.75,86.87000274658203,86.75,86.77230072021484,86.77230072021484,944,,,,,,,,2023-05-31 09:32:00-04:00
4,86.79000091552734,86.79000091552734,86.77999877929688,86.77999877929688,86.77999877929688,202,,,,,,,,2023-05-31 09:33:00-04:00
5,86.70999908447266,86.70999908447266,86.51460266113281,86.52999877929688,86.52999877929688,1345,,,,,,,,2023-05-31 09:34:00-04:00
6,86.6050033569336,86.6050033569336,86.52999877929688,86.52999877929688,86.52999877929688,356,,,,,,,,2023-05-31 09:35:00-04:00
7,86.5,86.55000305175781,86.5,86.55000305175781,86.55000305175781,1380,,,,,,,,2023-05-31 09:36:00-04:00
8,86.62000274658203,86.70999908447266,86.57250213623047,86.70999908447266,86.70999908447266,2420,,,,,,,,2023-05-31 09:37:00-04:00
9,86.69999694824219,86.69999694824219,86.62999725341797,86.62999725341797,86.62999725341797,2358,,,,,,,,2023-05-31 09:38:00-04:00
10,86.61000061035156,86.62000274658203,86.54000091552734,86.54000091552734,86.54000091552734,2261,,,,,,,,2023-05-31 09:39:00-04:00
11,86.55999755859375,86.58999633789062,86.51499938964844,86.58999633789062,86.58999633789062,6221,,,,,,,,2023-05-31 09:40:00-04:00
12,86.62999725341797,86.7300033569336,86.55500030517578,86.7300033569336,86.7300033569336,6056,,,,,,,,2023-05-31 09:41:00-04:00
13,86.80000305175781,86.80000305175781,86.73500061035156,86.73500061035156,86.73500061035156,488,,,,,,,,2023-05-31 09:42:00-04:00
14,86.81999969482422,86.87999725341797,86.7699966430664,86.87000274658203,86.87000274658203,2578,,,,,,,,2023-05-31 09:43:00-04:00
15,86.85199737548828,86.87000274658203,86.7300033569336,86.75,86.75,3809,,,,,,,,2023-05-31 09:44:00-04:00
16,86.77999877929688,86.83000183105469,86.75,86.77999877929688,86.77999877929688,2833,,,,,,,,2023-05-31 09:45:00-04:00
17,86.80500030517578,86.83999633789062,86.72000122070312,86.72000122070312,86.72000122070312,1249,,,,,,,,2023-05-31 09:46:00-04:00
18,86.55999755859375,86.70999908447266,86.51000213623047,86.62999725341797,86.62999725341797,4927,,,,,,,,2023-05-31 09:47:00-04:00
19,86.63009643554688,86.70999908447266,86.63009643554688,86.63999938964844,86.63999938964844,3253,,,,,,,,2023-05-31 09:48:00-04:00
20,86.7300033569336,86.80999755859375,86.7300033569336,86.74420166015625,86.74420166015625,4671,,,,,,,,2023-05-31 09:49:00-04:00
21,86.8499984741211,86.87999725341797,86.8499984741211,86.87999725341797,86.87999725341797,260,,,,,,,,2023-05-31 09:50:00-04:00
22,86.8499984741211,86.8499984741211,86.7699966430664,86.77999877929688,86.77999877929688,1441,,,,,,,,2023-05-31 09:51:00-04:00
23,86.66999816894531,86.66999816894531,86.61000061035156,86.63500213623047,86.63500213623047,761,,,,,,,,2023-05-31 09:52:00-04:00
24,86.69000244140625,86.75,86.69000244140625,86.75,86.75,2211,,,,,,,,2023-05-31 09:53:00-04:00
