Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date.2,Date.3,Date.4,Date
0,40.2400016784668,40.27579879760742,40.150001525878906,40.27579879760742,40.27579879760742,0,2023-05-24 09:30:00-04:00,,,,
1,40.0,40.0,40.0,40.0,40.0,0,,,,,2023-05-25 09:30:00-04:00
2,39.96500015258789,39.96500015258789,39.96500015258789,39.96500015258789,39.96500015258789,105,,,,,2023-05-25 09:32:00-04:00
3,39.880001068115234,39.90999984741211,39.810001373291016,39.81999969482422,39.81999969482422,1005,,,,,2023-05-25 09:33:00-04:00
4,40.01499938964844,40.03499984741211,39.94879913330078,40.03499984741211,40.03499984741211,697,,,,,2023-05-25 09:36:00-04:00
5,39.989498138427734,39.989498138427734,39.989498138427734,39.989498138427734,39.989498138427734,2057,,,,,2023-05-25 09:42:00-04:00
6,39.95029830932617,39.95029830932617,39.95029830932617,39.95029830932617,39.95029830932617,300,,,,,2023-05-25 09:54:00-04:00
7,39.90679931640625,39.90679931640625,39.90679931640625,39.90679931640625,39.90679931640625,135,,,,,2023-05-25 09:56:00-04:00
8,39.9463005065918,40.00130081176758,39.9463005065918,40.00130081176758,40.00130081176758,1286,,,,,2023-05-25 10:01:00-04:00
9,39.97060012817383,39.97060012817383,39.97060012817383,39.97060012817383,39.97060012817383,100,,,,,2023-05-25 10:02:00-04:00
10,39.9463005065918,39.9463005065918,39.9463005065918,39.9463005065918,39.9463005065918,167,,,,,2023-05-25 10:03:00-04:00
11,39.97999954223633,39.97999954223633,39.97999954223633,39.97999954223633,39.97999954223633,208,,,,,2023-05-25 10:05:00-04:00
12,39.810001373291016,39.880001068115234,39.72999954223633,39.880001068115234,39.880001068115234,6462,,,,,2023-05-25 10:10:00-04:00
13,39.84040069580078,39.84040069580078,39.84040069580078,39.84040069580078,39.84040069580078,247,,,,,2023-05-25 10:11:00-04:00
14,39.709999084472656,39.8213996887207,39.709999084472656,39.8213996887207,39.8213996887207,736,,,,,2023-05-25 10:15:00-04:00
15,39.80009841918945,39.80009841918945,39.79999923706055,39.79999923706055,39.79999923706055,380,,,,,2023-05-25 10:31:00-04:00
16,39.75,39.75,39.75,39.75,39.75,1310,,,,,2023-05-25 10:36:00-04:00
17,39.75,39.75,39.75,39.75,39.75,206,,,,,2023-05-25 10:37:00-04:00
18,39.78010177612305,39.78010177612305,39.78010177612305,39.78010177612305,39.78010177612305,150,,,,,2023-05-25 10:39:00-04:00
19,39.77190017700195,39.77190017700195,39.77190017700195,39.77190017700195,39.77190017700195,260,,,,,2023-05-25 10:42:00-04:00
20,39.7599983215332,39.7599983215332,39.7599983215332,39.7599983215332,39.7599983215332,181,,,,,2023-05-25 10:59:00-04:00
