Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date.2,Date.3,Date.4,Date.5,Date.6,Date.7,Date
0,225.2400054931641,225.2400054931641,225.2400054931641,225.2400054931641,225.2400054931641,17053,2023-05-24 09:30:00-04:00,,,,,,,
1,226.1699981689453,226.27000427246094,226.0,226.10000610351562,226.10000610351562,126053,,,,,,,,2023-05-31 09:30:00-04:00
2,226.78500366210938,226.78500366210938,226.78500366210938,226.78500366210938,226.78500366210938,172,,,,,,,,2023-05-31 09:32:00-04:00
3,226.65499877929688,226.65499877929688,226.65499877929688,226.65499877929688,226.65499877929688,301,,,,,,,,2023-05-31 09:33:00-04:00
4,226.50999450683594,226.50999450683594,225.35000610351562,225.38499450683594,225.38499450683594,59416,,,,,,,,2023-05-31 09:34:00-04:00
5,225.38499450683594,226.07000732421875,225.1999969482422,225.72999572753906,225.72999572753906,9954,,,,,,,,2023-05-31 09:35:00-04:00
6,225.99000549316406,225.99000549316406,225.52000427246094,225.99000549316406,225.99000549316406,9582,,,,,,,,2023-05-31 09:36:00-04:00
7,226.2100067138672,226.25,225.92999267578125,225.96499633789062,225.96499633789062,3828,,,,,,,,2023-05-31 09:37:00-04:00
8,226.05499267578125,226.25,225.80409240722656,226.08999633789062,226.08999633789062,12206,,,,,,,,2023-05-31 09:38:00-04:00
9,226.1199951171875,226.1199951171875,225.72000122070312,225.77499389648438,225.77499389648438,5967,,,,,,,,2023-05-31 09:39:00-04:00
10,225.8000030517578,225.8000030517578,225.5800018310547,225.72500610351562,225.72500610351562,5101,,,,,,,,2023-05-31 09:40:00-04:00
11,225.72500610351562,225.80999755859375,225.22000122070312,225.4949951171875,225.4949951171875,10558,,,,,,,,2023-05-31 09:41:00-04:00
12,225.5800018310547,225.7100067138672,225.5800018310547,225.60499572753906,225.60499572753906,2833,,,,,,,,2023-05-31 09:42:00-04:00
13,225.60000610351562,225.94000244140625,225.44000244140625,225.91000366210938,225.91000366210938,9467,,,,,,,,2023-05-31 09:43:00-04:00
14,225.80499267578125,225.92999267578125,225.80499267578125,225.9199981689453,225.9199981689453,5409,,,,,,,,2023-05-31 09:44:00-04:00
15,225.85000610351562,226.02999877929688,225.74000549316406,225.7899932861328,225.7899932861328,16071,,,,,,,,2023-05-31 09:45:00-04:00
16,225.8000030517578,225.8000030517578,225.39500427246094,225.39500427246094,225.39500427246094,7958,,,,,,,,2023-05-31 09:46:00-04:00
17,225.33999633789062,225.39500427246094,225.10000610351562,225.2310028076172,225.2310028076172,7299,,,,,,,,2023-05-31 09:47:00-04:00
18,225.22999572753906,225.22999572753906,224.20599365234375,224.47500610351562,224.47500610351562,16287,,,,,,,,2023-05-31 09:48:00-04:00
19,224.4512939453125,225.10000610351562,224.4512939453125,225.01499938964844,225.01499938964844,7455,,,,,,,,2023-05-31 09:49:00-04:00
20,225.11000061035156,225.52000427246094,225.07000732421875,225.52000427246094,225.52000427246094,7468,,,,,,,,2023-05-31 09:50:00-04:00
21,225.39500427246094,225.66000366210938,225.39500427246094,225.66000366210938,225.66000366210938,11568,,,,,,,,2023-05-31 09:51:00-04:00
22,225.55999755859375,225.61000061035156,225.38999938964844,225.4499969482422,225.4499969482422,6176,,,,,,,,2023-05-31 09:52:00-04:00
23,225.49000549316406,225.60499572753906,225.4499969482422,225.5500030517578,225.5500030517578,7842,,,,,,,,2023-05-31 09:53:00-04:00
