Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date.2,Date
0,681.4400024414062,681.7993774414062,678.7999877929688,679.177490234375,679.177490234375,72751,2023-05-24 09:30:00-04:00,,
1,681.4400024414062,681.7993774414062,678.7999877929688,679.177490234375,679.177490234375,72751,,,2023-05-24 09:30:00-04:00
2,678.47998046875,680.219970703125,678.010009765625,679.6300048828125,679.6300048828125,11560,,,2023-05-24 09:31:00-04:00
3,679.6300048828125,682.5800170898438,678.864990234375,680.6799926757812,680.6799926757812,7515,,,2023-05-24 09:32:00-04:00
4,682.5404052734375,682.8300170898438,680.1519165039062,681.1400146484375,681.1400146484375,5691,,,2023-05-24 09:33:00-04:00
5,680.2000122070312,681.8099975585938,680.2000122070312,680.2000122070312,680.2000122070312,3414,,,2023-05-24 09:34:00-04:00
6,681.14501953125,681.6699829101562,680.010009765625,681.594970703125,681.594970703125,12874,,,2023-05-24 09:35:00-04:00
7,681.0700073242188,681.8599853515625,680.5692749023438,680.719970703125,680.719970703125,5985,,,2023-05-24 09:36:00-04:00
8,680.7100219726562,681.0900268554688,680.64501953125,680.97998046875,680.97998046875,2135,,,2023-05-24 09:37:00-04:00
9,680.6799926757812,681.5999755859375,680.6199951171875,680.6649780273438,680.6649780273438,8967,,,2023-05-24 09:38:00-04:00
10,680.7899780273438,681.9600219726562,680.7899780273438,681.8049926757812,681.8049926757812,14798,,,2023-05-24 09:39:00-04:00
11,681.8150024414062,683.7100219726562,681.8099975585938,683.5,683.5,6210,,,2023-05-24 09:40:00-04:00
12,683.5,683.989990234375,683.4249877929688,683.5119018554688,683.5119018554688,1798,,,2023-05-24 09:41:00-04:00
13,683.7550048828125,684.3099975585938,683.2449951171875,683.2449951171875,683.2449951171875,15424,,,2023-05-24 09:42:00-04:00
14,683.1300048828125,683.655029296875,683.0,683.655029296875,683.655029296875,967,,,2023-05-24 09:43:00-04:00
15,683.9199829101562,683.9199829101562,682.9299926757812,683.2249755859375,683.2249755859375,5775,,,2023-05-24 09:44:00-04:00
16,682.9299926757812,682.9500122070312,682.1799926757812,682.364990234375,682.364990234375,7177,,,2023-05-24 09:45:00-04:00
17,682.3900146484375,682.3900146484375,680.6699829101562,680.77001953125,680.77001953125,8082,,,2023-05-24 09:46:00-04:00
18,680.530029296875,681.27001953125,680.3099975585938,681.14501953125,681.14501953125,4788,,,2023-05-24 09:47:00-04:00
19,681.14501953125,681.14501953125,680.3607177734375,680.5374755859375,680.5374755859375,5558,,,2023-05-24 09:48:00-04:00
20,680.9199829101562,681.3099975585938,680.6325073242188,680.760009765625,680.760009765625,10491,,,2023-05-24 09:49:00-04:00
21,681.0650024414062,681.0650024414062,680.5700073242188,680.614990234375,680.614990234375,3202,,,2023-05-24 09:50:00-04:00
22,680.7100219726562,681.280029296875,680.4500122070312,680.8375244140625,680.8375244140625,14716,,,2023-05-24 09:51:00-04:00
23,681.0,681.3400268554688,680.3800048828125,680.77001953125,680.77001953125,9251,,,2023-05-24 09:52:00-04:00
24,680.3400268554688,680.4025268554688,680.0800170898438,680.4000244140625,680.4000244140625,4231,,,2023-05-24 09:53:00-04:00
25,680.3403930664062,680.5399780273438,680.1599731445312,680.1599731445312,680.1599731445312,3270,,,2023-05-24 09:54:00-04:00
26,680.2899780273438,681.0750122070312,680.0999755859375,681.0750122070312,681.0750122070312,8954,,,2023-05-24 09:55:00-04:00
27,681.2999877929688,681.5,681.1500244140625,681.2150268554688,681.2150268554688,8524,,,2023-05-24 09:56:00-04:00
28,681.0,681.3800048828125,680.8400268554688,680.9299926757812,680.9299926757812,3368,,,2023-05-24 09:57:00-04:00
29,681.4099731445312,681.52001953125,681.0650024414062,681.52001953125,681.52001953125,9794,,,2023-05-24 09:58:00-04:00
30,681.0900268554688,682.3699951171875,680.47998046875,680.739990234375,680.739990234375,13633,,,2023-05-24 09:59:00-04:00
31,680.7825927734375,681.4959716796875,680.5800170898438,681.239990234375,681.239990234375,10480,,,2023-05-24 10:00:00-04:00
32,681.219970703125,681.280029296875,681.1400146484375,681.280029296875,681.280029296875,1218,,,2023-05-24 10:01:00-04:00
33,681.1099853515625,681.1300048828125,680.22998046875,681.1300048828125,681.1300048828125,6603,,,2023-05-24 10:02:00-04:00
34,681.0449829101562,681.0650024414062,680.5700073242188,680.5700073242188,680.5700073242188,2164,,,2023-05-24 10:03:00-04:00
35,680.27001953125,680.27001953125,679.4500122070312,679.4500122070312,679.4500122070312,4513,,,2023-05-24 10:04:00-04:00
36,679.239990234375,679.4400024414062,678.1849975585938,678.5800170898438,678.5800170898438,6807,,,2023-05-24 10:05:00-04:00
37,678.5374755859375,678.5960083007812,677.6300048828125,678.1400146484375,678.1400146484375,6052,,,2023-05-24 10:06:00-04:00
38,677.97998046875,677.97998046875,677.7150268554688,677.7150268554688,677.7150268554688,6965,,,2023-05-24 10:07:00-04:00
39,677.85498046875,677.9099731445312,676.5800170898438,676.5800170898438,676.5800170898438,5514,,,2023-05-24 10:08:00-04:00
