Open,High,Low,Close,Adj Close,Volume
8.805249308352359e-06,8.805249308352359e-06,8.805249308352359e-06,8.805249308352359e-06,8.805249308352359e-06,0
8.803779564914294e-06,8.803779564914294e-06,8.803779564914294e-06,8.803779564914294e-06,8.803779564914294e-06,133648
8.802686352282763e-06,8.802686352282763e-06,8.802686352282763e-06,8.802686352282763e-06,8.802686352282763e-06,0
8.802939191809855e-06,8.802939191809855e-06,8.802939191809855e-06,8.802939191809855e-06,8.802939191809855e-06,0
8.799955139693338e-06,8.799955139693338e-06,8.799955139693338e-06,8.799955139693338e-06,8.799955139693338e-06,87544
8.800649084150791e-06,8.800649084150791e-06,8.800649084150791e-06,8.800649084150791e-06,8.800649084150791e-06,6720
8.801673175184987e-06,8.801673175184987e-06,8.801673175184987e-06,8.801673175184987e-06,8.801673175184987e-06,0
8.800411706033628e-06,8.800411706033628e-06,8.800411706033628e-06,8.800411706033628e-06,8.800411706033628e-06,0
8.80041261552833e-06,8.80041261552833e-06,8.80041261552833e-06,8.80041261552833e-06,8.80041261552833e-06,9600
8.802119737083558e-06,8.802119737083558e-06,8.802119737083558e-06,8.802119737083558e-06,8.802119737083558e-06,42832
8.807775884633884e-06,8.807775884633884e-06,8.807775884633884e-06,8.807775884633884e-06,8.807775884633884e-06,0
8.808727216091938e-06,8.808727216091938e-06,8.808727216091938e-06,8.808727216091938e-06,8.808727216091938e-06,0
8.808636266621761e-06,8.808636266621761e-06,8.808636266621761e-06,8.808636266621761e-06,8.808636266621761e-06,0
8.808976417640224e-06,8.808976417640224e-06,8.808976417640224e-06,8.808976417640224e-06,8.808976417640224e-06,0
8.808639904600568e-06,8.808639904600568e-06,8.808639904600568e-06,8.808639904600568e-06,8.808639904600568e-06,38896
8.809312021185178e-06,8.809312021185178e-06,8.809312021185178e-06,8.809312021185178e-06,8.809312021185178e-06,0
8.810280633042566e-06,8.810280633042566e-06,8.810280633042566e-06,8.810280633042566e-06,8.810280633042566e-06,0
8.811430234345607e-06,8.811430234345607e-06,8.811430234345607e-06,8.811430234345607e-06,8.811430234345607e-06,0
8.812622581899632e-06,8.812622581899632e-06,8.812622581899632e-06,8.812622581899632e-06,8.812622581899632e-06,0
8.816656190901995e-06,8.816656190901995e-06,8.816656190901995e-06,8.816656190901995e-06,8.816656190901995e-06,0
8.816623449092731e-06,8.816623449092731e-06,8.816623449092731e-06,8.816623449092731e-06,8.816623449092731e-06,0
8.815767614578363e-06,8.815767614578363e-06,8.815767614578363e-06,8.815767614578363e-06,8.815767614578363e-06,0
8.812146006675903e-06,8.812146006675903e-06,8.812146006675903e-06,8.812146006675903e-06,8.812146006675903e-06,0
8.812543455860578e-06,8.812543455860578e-06,8.812543455860578e-06,8.812543455860578e-06,8.812543455860578e-06,0
8.81581763678696e-06,8.81581763678696e-06,8.81581763678696e-06,8.81581763678696e-06,8.81581763678696e-06,73272
8.817558409646153e-06,8.817558409646153e-06,8.817558409646153e-06,8.817558409646153e-06,8.817558409646153e-06,0
8.817360139801167e-06,8.817360139801167e-06,8.817360139801167e-06,8.817360139801167e-06,8.817360139801167e-06,0
8.817948582873214e-06,8.817948582873214e-06,8.817948582873214e-06,8.817948582873214e-06,8.817948582873214e-06,0
8.818446985969786e-06,8.818446985969786e-06,8.818446985969786e-06,8.818446985969786e-06,8.818446985969786e-06,0
8.8189672169392e-06,8.8189672169392e-06,8.8189672169392e-06,8.8189672169392e-06,8.8189672169392e-06,0
8.819963113637641e-06,8.819963113637641e-06,8.819963113637641e-06,8.819963113637641e-06,8.819963113637641e-06,0
8.819350114208646e-06,8.819350114208646e-06,8.819350114208646e-06,8.819350114208646e-06,8.819350114208646e-06,0
8.817872185318265e-06,8.817872185318265e-06,8.817872185318265e-06,8.817872185318265e-06,8.817872185318265e-06,7656
8.811854968371335e-06,8.811854968371335e-06,8.811854968371335e-06,8.811854968371335e-06,8.811854968371335e-06,0
8.812403393676504e-06,8.812403393676504e-06,8.812403393676504e-06,8.812403393676504e-06,8.812403393676504e-06,0
8.811543921183329e-06,8.811543921183329e-06,8.811543921183329e-06,8.811543921183329e-06,8.811543921183329e-06,0
8.811326551949605e-06,8.811326551949605e-06,8.811326551949605e-06,8.811326551949605e-06,8.811326551949605e-06,0
8.810487088339869e-06,8.810487088339869e-06,8.810487088339869e-06,8.810487088339869e-06,8.810487088339869e-06,0
8.810794497549068e-06,8.810794497549068e-06,8.810794497549068e-06,8.810794497549068e-06,8.810794497549068e-06,0
8.810741746856365e-06,8.810741746856365e-06,8.810741746856365e-06,8.810741746856365e-06,8.810741746856365e-06,0
8.807598533167038e-06,8.807598533167038e-06,8.807598533167038e-06,8.807598533167038e-06,8.807598533167038e-06,0
8.807119229459204e-06,8.807119229459204e-06,8.807119229459204e-06,8.807119229459204e-06,8.807119229459204e-06,0
8.795678695605602e-06,8.795678695605602e-06,8.795678695605602e-06,8.795678695605602e-06,8.795678695605602e-06,135312
8.797065675025806e-06,8.797065675025806e-06,8.797065675025806e-06,8.797065675025806e-06,8.797065675025806e-06,0
8.796224392426666e-06,8.796224392426666e-06,8.796224392426666e-06,8.796224392426666e-06,8.796224392426666e-06,0
8.796639122010674e-06,8.796639122010674e-06,8.796639122010674e-06,8.796639122010674e-06,8.796639122010674e-06,0
8.795519534032792e-06,8.795519534032792e-06,8.795519534032792e-06,8.795519534032792e-06,8.795519534032792e-06,0
8.797126611170825e-06,8.797126611170825e-06,8.797126611170825e-06,8.797126611170825e-06,8.797126611170825e-06,0
8.793211236479692e-06,8.793211236479692e-06,8.793211236479692e-06,8.793211236479692e-06,8.793211236479692e-06,271792
8.792098014964722e-06,8.792098014964722e-06,8.792098014964722e-06,8.792098014964722e-06,8.792098014964722e-06,0
8.792590961093083e-06,8.792590961093083e-06,8.792590961093083e-06,8.792590961093083e-06,8.792590961093083e-06,0
8.777942639426328e-06,8.777942639426328e-06,8.777942639426328e-06,8.777942639426328e-06,8.777942639426328e-06,0
8.775154128670692e-06,8.775154128670692e-06,8.775154128670692e-06,8.775154128670692e-06,8.775154128670692e-06,380296
8.7763382907724e-06,8.7763382907724e-06,8.7763382907724e-06,8.7763382907724e-06,8.7763382907724e-06,0
8.77909224072937e-06,8.77909224072937e-06,8.77909224072937e-06,8.77909224072937e-06,8.77909224072937e-06,34368
8.778529263508972e-06,8.778529263508972e-06,8.778529263508972e-06,8.778529263508972e-06,8.778529263508972e-06,0
8.777652510616463e-06,8.777652510616463e-06,8.777652510616463e-06,8.777652510616463e-06,8.777652510616463e-06,0
8.773238732828759e-06,8.773238732828759e-06,8.773238732828759e-06,8.773238732828759e-06,8.773238732828759e-06,225208
8.77318780112546e-06,8.77318780112546e-06,8.77318780112546e-06,8.77318780112546e-06,8.77318780112546e-06,11120
8.773415174800903e-06,8.773415174800903e-06,8.773415174800903e-06,8.773415174800903e-06,8.773415174800903e-06,0
8.770307431404945e-06,8.770307431404945e-06,8.770307431404945e-06,8.770307431404945e-06,8.770307431404945e-06,0
8.76883314049337e-06,8.76883314049337e-06,8.76883314049337e-06,8.76883314049337e-06,8.76883314049337e-06,0
8.769498890615068e-06,8.769498890615068e-06,8.769498890615068e-06,8.769498890615068e-06,8.769498890615068e-06,0
8.772210094321053e-06,8.772210094321053e-06,8.772210094321053e-06,8.772210094321053e-06,8.772210094321053e-06,6888
8.77308048075065e-06,8.77308048075065e-06,8.77308048075065e-06,8.77308048075065e-06,8.77308048075065e-06,0
8.773782610660419e-06,8.773782610660419e-06,8.773782610660419e-06,8.773782610660419e-06,8.773782610660419e-06,0
8.773472472967114e-06,8.773472472967114e-06,8.773472472967114e-06,8.773472472967114e-06,8.773472472967114e-06,0
8.774955858825706e-06,8.774955858825706e-06,8.774955858825706e-06,8.774955858825706e-06,8.774955858825706e-06,0
8.774239177000709e-06,8.774239177000709e-06,8.774239177000709e-06,8.774239177000709e-06,8.774239177000709e-06,0
8.773314220889006e-06,8.773314220889006e-06,8.773314220889006e-06,8.773314220889006e-06,8.773314220889006e-06,5168
8.771596185397357e-06,8.771596185397357e-06,8.771596185397357e-06,8.771596185397357e-06,8.771596185397357e-06,27680
8.771456123213284e-06,8.771456123213284e-06,8.771456123213284e-06,8.771456123213284e-06,8.771456123213284e-06,12016
8.766476639721077e-06,8.766476639721077e-06,8.766476639721077e-06,8.766476639721077e-06,8.766476639721077e-06,33864
8.76614467415493e-06,8.76614467415493e-06,8.76614467415493e-06,8.76614467415493e-06,8.76614467415493e-06,0
8.766868631937541e-06,8.766868631937541e-06,8.766868631937541e-06,8.766868631937541e-06,8.766868631937541e-06,21296
8.764319318288472e-06,8.764319318288472e-06,8.764319318288472e-06,8.764319318288472e-06,8.764319318288472e-06,220832
8.764081030676607e-06,8.764081030676607e-06,8.764081030676607e-06,8.764081030676607e-06,8.764081030676607e-06,1008
8.763377081777435e-06,8.763377081777435e-06,8.763377081777435e-06,8.763377081777435e-06,8.763377081777435e-06,2768
8.754677764954977e-06,8.754677764954977e-06,8.754677764954977e-06,8.754677764954977e-06,8.754677764954977e-06,0
8.755619091971312e-06,8.755619091971312e-06,8.755619091971312e-06,8.755619091971312e-06,8.755619091971312e-06,0
8.754500413488131e-06,8.754500413488131e-06,8.754500413488131e-06,8.754500413488131e-06,8.754500413488131e-06,11232
8.750266715651378e-06,8.750266715651378e-06,8.750266715651378e-06,8.750266715651378e-06,8.750266715651378e-06,17096
8.748601430852432e-06,8.748601430852432e-06,8.748601430852432e-06,8.748601430852432e-06,8.748601430852432e-06,104440
8.742415047890972e-06,8.742415047890972e-06,8.742415047890972e-06,8.742415047890972e-06,8.742415047890972e-06,449224
8.738608812564053e-06,8.738608812564053e-06,8.738608812564053e-06,8.738608812564053e-06,8.738608812564053e-06,0
8.740317753108684e-06,8.740317753108684e-06,8.740317753108684e-06,8.740317753108684e-06,8.740317753108684e-06,294328
8.737820280657616e-06,8.737820280657616e-06,8.737820280657616e-06,8.737820280657616e-06,8.737820280657616e-06,0
8.733268259675242e-06,8.733268259675242e-06,8.733268259675242e-06,8.733268259675242e-06,8.733268259675242e-06,0
8.729803994356189e-06,8.729803994356189e-06,8.729803994356189e-06,8.729803994356189e-06,8.729803994356189e-06,0
8.729435649001971e-06,8.729435649001971e-06,8.729435649001971e-06,8.729435649001971e-06,8.729435649001971e-06,293232
8.724899089429528e-06,8.724899089429528e-06,8.724899089429528e-06,8.724899089429528e-06,8.724899089429528e-06,59800
8.718326171219815e-06,8.718326171219815e-06,8.718326171219815e-06,8.718326171219815e-06,8.718326171219815e-06,31576
8.720275218365714e-06,8.720275218365714e-06,8.720275218365714e-06,8.720275218365714e-06,8.720275218365714e-06,76720
8.71629708854016e-06,8.71629708854016e-06,8.71629708854016e-06,8.71629708854016e-06,8.71629708854016e-06,0
8.717493983567692e-06,8.717493983567692e-06,8.717493983567692e-06,8.717493983567692e-06,8.717493983567692e-06,205040
8.714976502233185e-06,8.714976502233185e-06,8.714976502233185e-06,8.714976502233185e-06,8.714976502233185e-06,0
8.709702342457604e-06,8.709702342457604e-06,8.709702342457604e-06,8.709702342457604e-06,8.709702342457604e-06,0
8.708249879418872e-06,8.708249879418872e-06,8.708249879418872e-06,8.708249879418872e-06,8.708249879418872e-06,0
8.708734640094917e-06,8.708734640094917e-06,8.708734640094917e-06,8.708734640094917e-06,8.708734640094917e-06,0
8.707111192052253e-06,8.707111192052253e-06,8.707111192052253e-06,8.707111192052253e-06,8.707111192052253e-06,0
8.70965959620662e-06,8.70965959620662e-06,8.70965959620662e-06,8.70965959620662e-06,8.70965959620662e-06,34000
8.71010615810519e-06,8.71010615810519e-06,8.71010615810519e-06,8.71010615810519e-06,8.71010615810519e-06,0
8.723109203856438e-06,8.723109203856438e-06,8.723109203856438e-06,8.723109203856438e-06,8.723109203856438e-06,32720
8.724116923986003e-06,8.724116923986003e-06,8.724116923986003e-06,8.724116923986003e-06,8.724116923986003e-06,0
8.724041435925756e-06,8.724041435925756e-06,8.724041435925756e-06,8.724041435925756e-06,8.724041435925756e-06,19456
8.724100553081371e-06,8.724100553081371e-06,8.724100553081371e-06,8.724100553081371e-06,8.724100553081371e-06,152048
8.724719918973278e-06,8.724719918973278e-06,8.724719918973278e-06,8.724719918973278e-06,8.724719918973278e-06,15920
8.726396117708646e-06,8.726396117708646e-06,8.726396117708646e-06,8.726396117708646e-06,8.726396117708646e-06,6008
8.732024070923217e-06,8.732024070923217e-06,8.732024070923217e-06,8.732024070923217e-06,8.732024070923217e-06,0
8.732238711672835e-06,8.732238711672835e-06,8.732238711672835e-06,8.732238711672835e-06,8.732238711672835e-06,0
8.732755304663442e-06,8.732755304663442e-06,8.732755304663442e-06,8.732755304663442e-06,8.732755304663442e-06,0
8.732934475119691e-06,8.732934475119691e-06,8.732934475119691e-06,8.732934475119691e-06,8.732934475119691e-06,25016
8.733150025364012e-06,8.733150025364012e-06,8.733150025364012e-06,8.733150025364012e-06,8.733150025364012e-06,16168
8.733606591704302e-06,8.733606591704302e-06,8.733606591704302e-06,8.733606591704302e-06,8.733606591704302e-06,0
8.735815754334908e-06,8.735815754334908e-06,8.735815754334908e-06,8.735815754334908e-06,8.735815754334908e-06,0
8.734578841540497e-06,8.734578841540497e-06,8.734578841540497e-06,8.734578841540497e-06,8.734578841540497e-06,0
8.73558110470185e-06,8.73558110470185e-06,8.73558110470185e-06,8.73558110470185e-06,8.73558110470185e-06,0
8.73655062605394e-06,8.73655062605394e-06,8.73655062605394e-06,8.73655062605394e-06,8.73655062605394e-06,0
8.739482836972456e-06,8.739482836972456e-06,8.739482836972456e-06,8.739482836972456e-06,8.739482836972456e-06,0
8.740060366108082e-06,8.740060366108082e-06,8.740060366108082e-06,8.740060366108082e-06,8.740060366108082e-06,7288
8.742004865780473e-06,8.742004865780473e-06,8.742004865780473e-06,8.742004865780473e-06,8.742004865780473e-06,0
8.742220416024793e-06,8.742220416024793e-06,8.742220416024793e-06,8.742220416024793e-06,8.742220416024793e-06,0
8.74176748766331e-06,8.74176748766331e-06,8.74176748766331e-06,8.74176748766331e-06,8.74176748766331e-06,0
8.738208634895273e-06,8.738208634895273e-06,8.738208634895273e-06,8.738208634895273e-06,8.738208634895273e-06,0
8.738892574911006e-06,8.738892574911006e-06,8.738892574911006e-06,8.738892574911006e-06,8.738892574911006e-06,0
8.738573342270683e-06,8.738573342270683e-06,8.738573342270683e-06,8.738573342270683e-06,8.738573342270683e-06,0
8.736826202948578e-06,8.736826202948578e-06,8.736826202948578e-06,8.736826202948578e-06,8.736826202948578e-06,0
8.736977179069072e-06,8.736977179069072e-06,8.736977179069072e-06,8.736977179069072e-06,8.736977179069072e-06,0
8.737214557186235e-06,8.737214557186235e-06,8.737214557186235e-06,8.737214557186235e-06,8.737214557186235e-06,6232
8.745392733544577e-06,8.745392733544577e-06,8.745392733544577e-06,8.745392733544577e-06,8.745392733544577e-06,55736
8.746426829020493e-06,8.746426829020493e-06,8.746426829020493e-06,8.746426829020493e-06,8.746426829020493e-06,4488
8.74687702889787e-06,8.74687702889787e-06,8.74687702889787e-06,8.74687702889787e-06,8.74687702889787e-06,0
8.747026186028961e-06,8.747026186028961e-06,8.747026186028961e-06,8.747026186028961e-06,8.747026186028961e-06,0
8.748008440306876e-06,8.748008440306876e-06,8.748008440306876e-06,8.748008440306876e-06,8.748008440306876e-06,0
8.74852867127629e-06,8.74852867127629e-06,8.74852867127629e-06,8.74852867127629e-06,8.74852867127629e-06,2656
8.748065738473088e-06,8.748065738473088e-06,8.748065738473088e-06,8.748065738473088e-06,8.748065738473088e-06,0
8.74664601724362e-06,8.74664601724362e-06,8.74664601724362e-06,8.74664601724362e-06,8.74664601724362e-06,0
8.747992069402244e-06,8.747992069402244e-06,8.747992069402244e-06,8.747992069402244e-06,8.747992069402244e-06,0
