Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date.2,Date.3,Date.4,Date.5,Date.6,Date.7,Date
0,376.9200134277344,376.9200134277344,374.6111145019531,374.6111145019531,374.6111145019531,11450,2023-05-24 09:31:00-04:00,,,,,,,
1,378.1000061035156,378.9599914550781,378.1000061035156,378.9599914550781,378.9599914550781,3585,,,,,,,,2023-05-31 09:30:00-04:00
2,378.6499938964844,378.6499938964844,378.6499938964844,378.6499938964844,378.6499938964844,101,,,,,,,,2023-05-31 09:34:00-04:00
3,378.6499938964844,378.6499938964844,378.6499938964844,378.6499938964844,378.6499938964844,108,,,,,,,,2023-05-31 09:35:00-04:00
4,378.7200012207031,378.7200012207031,377.260009765625,377.260009765625,377.260009765625,1169,,,,,,,,2023-05-31 09:36:00-04:00
5,377.739990234375,377.739990234375,377.739990234375,377.739990234375,377.739990234375,108,,,,,,,,2023-05-31 09:37:00-04:00
6,377.7099914550781,378.8550109863281,377.17999267578125,378.79998779296875,378.79998779296875,622,,,,,,,,2023-05-31 09:38:00-04:00
7,376.4100036621094,376.4100036621094,376.4100036621094,376.4100036621094,376.4100036621094,346,,,,,,,,2023-05-31 09:40:00-04:00
8,375.5624084472656,375.5624084472656,375.5624084472656,375.5624084472656,375.5624084472656,162,,,,,,,,2023-05-31 09:41:00-04:00
9,375.79998779296875,376.0299987792969,375.79998779296875,375.9549865722656,375.9549865722656,365,,,,,,,,2023-05-31 09:43:00-04:00
10,377.94500732421875,377.94500732421875,377.94500732421875,377.94500732421875,377.94500732421875,114,,,,,,,,2023-05-31 09:45:00-04:00
11,375.6099853515625,376.3699951171875,375.6099853515625,376.3699951171875,376.3699951171875,1016,,,,,,,,2023-05-31 09:46:00-04:00
12,375.8500061035156,375.8500061035156,372.25,373.2300109863281,373.2300109863281,3139,,,,,,,,2023-05-31 09:47:00-04:00
13,372.7799987792969,372.7799987792969,372.7799987792969,372.7799987792969,372.7799987792969,828,,,,,,,,2023-05-31 09:48:00-04:00
