Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date.2,Date.3,Date.4,Date.5,Date
0,103.5,103.81999969482422,103.17279815673828,103.26499938964844,103.26499938964844,24701,2023-05-24 09:30:00-04:00,,,,,
1,101.4000015258789,101.4000015258789,101.3499984741211,101.3499984741211,101.3499984741211,12172,,,,,,2023-05-26 09:30:00-04:00
2,101.36000061035156,101.36000061035156,101.23999786376953,101.23999786376953,101.23999786376953,3131,,,,,,2023-05-26 09:31:00-04:00
3,101.06999969482422,101.06999969482422,100.9000015258789,101.0,101.0,1818,,,,,,2023-05-26 09:32:00-04:00
4,101.2208023071289,101.26000213623047,101.2208023071289,101.26000213623047,101.26000213623047,755,,,,,,2023-05-26 09:33:00-04:00
5,101.2300033569336,101.27999877929688,101.2300033569336,101.27999877929688,101.27999877929688,888,,,,,,2023-05-26 09:34:00-04:00
6,101.37999725341797,101.37999725341797,101.30000305175781,101.30000305175781,101.30000305175781,587,,,,,,2023-05-26 09:35:00-04:00
7,101.30000305175781,101.30000305175781,101.08999633789062,101.08999633789062,101.08999633789062,2615,,,,,,2023-05-26 09:36:00-04:00
8,101.0,101.05249786376953,101.0,101.05249786376953,101.05249786376953,1542,,,,,,2023-05-26 09:37:00-04:00
9,100.93299865722656,101.05000305175781,100.93299865722656,101.05000305175781,101.05000305175781,1061,,,,,,2023-05-26 09:38:00-04:00
10,101.08999633789062,101.12539672851562,101.08999633789062,101.12539672851562,101.12539672851562,908,,,,,,2023-05-26 09:39:00-04:00
11,101.02999877929688,101.15499877929688,101.02999877929688,101.15499877929688,101.15499877929688,1025,,,,,,2023-05-26 09:40:00-04:00
12,101.45999908447266,101.5198974609375,101.45950317382812,101.45950317382812,101.45950317382812,7550,,,,,,2023-05-26 09:41:00-04:00
13,101.69499969482422,101.69499969482422,101.5999984741211,101.6500015258789,101.6500015258789,3550,,,,,,2023-05-26 09:42:00-04:00
14,101.62000274658203,101.62999725341797,101.58000183105469,101.58000183105469,101.58000183105469,12442,,,,,,2023-05-26 09:43:00-04:00
15,101.63999938964844,101.63999938964844,101.63999938964844,101.63999938964844,101.63999938964844,465,,,,,,2023-05-26 09:45:00-04:00
16,101.66000366210938,101.76000213623047,101.66000366210938,101.76000213623047,101.76000213623047,796,,,,,,2023-05-26 09:46:00-04:00
17,101.66500091552734,101.66500091552734,101.56500244140625,101.6050033569336,101.6050033569336,1583,,,,,,2023-05-26 09:47:00-04:00
18,101.3499984741211,101.40499877929688,101.3499984741211,101.3949966430664,101.3949966430664,662,,,,,,2023-05-26 09:48:00-04:00
19,101.44499969482422,101.47000122070312,101.27999877929688,101.27999877929688,101.27999877929688,1166,,,,,,2023-05-26 09:49:00-04:00
20,101.31999969482422,101.31999969482422,101.25,101.25,101.25,750,,,,,,2023-05-26 09:50:00-04:00
21,101.06999969482422,101.06999969482422,101.0199966430664,101.02999877929688,101.02999877929688,1324,,,,,,2023-05-26 09:51:00-04:00
22,101.1449966430664,101.1449966430664,101.08000183105469,101.08000183105469,101.08000183105469,1120,,,,,,2023-05-26 09:52:00-04:00
23,101.1500015258789,101.1500015258789,101.04000091552734,101.04000091552734,101.04000091552734,3167,,,,,,2023-05-26 09:53:00-04:00
24,101.03250122070312,101.11000061035156,101.0,101.08999633789062,101.08999633789062,1451,,,,,,2023-05-26 09:54:00-04:00
25,101.1500015258789,101.24500274658203,101.1458969116211,101.24500274658203,101.24500274658203,6539,,,,,,2023-05-26 09:55:00-04:00
26,101.0999984741211,101.16500091552734,101.0999984741211,101.16500091552734,101.16500091552734,496,,,,,,2023-05-26 09:56:00-04:00
27,101.22000122070312,101.22000122070312,101.22000122070312,101.22000122070312,101.22000122070312,422,,,,,,2023-05-26 09:57:00-04:00
28,101.23999786376953,101.23999786376953,101.23999786376953,101.23999786376953,101.23999786376953,442,,,,,,2023-05-26 09:58:00-04:00
29,101.18000030517578,101.25,101.16999816894531,101.25,101.25,1177,,,,,,2023-05-26 09:59:00-04:00
30,101.38999938964844,101.45999908447266,101.37000274658203,101.41500091552734,101.41500091552734,1666,,,,,,2023-05-26 10:00:00-04:00
31,101.4000015258789,101.4000015258789,101.4000015258789,101.4000015258789,101.4000015258789,266,,,,,,2023-05-26 10:01:00-04:00
32,101.3499984741211,101.3499984741211,101.19999694824219,101.19999694824219,101.19999694824219,2393,,,,,,2023-05-26 10:02:00-04:00
33,101.12999725341797,101.12999725341797,101.08000183105469,101.08000183105469,101.08000183105469,433,,,,,,2023-05-26 10:03:00-04:00
34,101.11000061035156,101.3550033569336,101.11000061035156,101.3550033569336,101.3550033569336,2177,,,,,,2023-05-26 10:04:00-04:00
35,101.26000213623047,101.35929870605469,101.18000030517578,101.18000030517578,101.18000030517578,1369,,,,,,2023-05-26 10:05:00-04:00
36,101.18000030517578,101.37000274658203,101.18000030517578,101.20500183105469,101.20500183105469,2670,,,,,,2023-05-26 10:06:00-04:00
37,101.25499725341797,101.34500122070312,101.25499725341797,101.33999633789062,101.33999633789062,1265,,,,,,2023-05-26 10:07:00-04:00
