Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date.2,Date.3,Date.4,Date.5,Date
0,2463.409912109375,2474.739990234375,2463.409912109375,2472.659912109375,2472.659912109375,2049,2023-05-24 09:30:00-04:00,,,,,
1,2461.14990234375,2461.14990234375,2461.14990234375,2461.14990234375,2461.14990234375,9242,,,,,,2023-05-26 09:30:00-04:00
2,2454.760009765625,2454.760009765625,2454.760009765625,2454.760009765625,2454.760009765625,695,,,,,,2023-05-26 09:31:00-04:00
3,2453.530029296875,2453.530029296875,2443.530029296875,2443.530029296875,2443.530029296875,396,,,,,,2023-05-26 09:32:00-04:00
4,2456.679931640625,2456.679931640625,2436.010009765625,2436.010009765625,2436.010009765625,1340,,,,,,2023-05-26 09:33:00-04:00
5,2439.22998046875,2439.22998046875,2426.570068359375,2426.570068359375,2426.570068359375,648,,,,,,2023-05-26 09:37:00-04:00
6,2439.2900390625,2443.469970703125,2439.2900390625,2443.469970703125,2443.469970703125,1820,,,,,,2023-05-26 09:39:00-04:00
7,2448.610107421875,2448.610107421875,2447.219970703125,2447.219970703125,2447.219970703125,539,,,,,,2023-05-26 09:40:00-04:00
8,2451.22998046875,2455.14501953125,2451.22998046875,2455.1201171875,2455.1201171875,1706,,,,,,2023-05-26 09:42:00-04:00
9,2447.1298828125,2447.1298828125,2446.919921875,2446.919921875,2446.919921875,742,,,,,,2023-05-26 09:46:00-04:00
10,2441.320068359375,2441.320068359375,2441.320068359375,2441.320068359375,2441.320068359375,271,,,,,,2023-05-26 09:52:00-04:00
11,2444.949951171875,2444.949951171875,2444.949951171875,2444.949951171875,2444.949951171875,623,,,,,,2023-05-26 09:54:00-04:00
12,2445.81005859375,2445.81005859375,2444.570068359375,2444.570068359375,2444.570068359375,278,,,,,,2023-05-26 09:55:00-04:00
13,2447.0,2447.0,2444.570068359375,2444.570068359375,2444.570068359375,788,,,,,,2023-05-26 09:57:00-04:00
14,2444.194091796875,2444.194091796875,2444.194091796875,2444.194091796875,2444.194091796875,328,,,,,,2023-05-26 10:02:00-04:00
15,2444.905029296875,2444.905029296875,2444.905029296875,2444.905029296875,2444.905029296875,456,,,,,,2023-05-26 10:03:00-04:00
16,2447.89990234375,2448.35009765625,2447.89990234375,2448.35009765625,2448.35009765625,545,,,,,,2023-05-26 10:04:00-04:00
17,2446.4599609375,2449.159912109375,2446.4599609375,2449.159912109375,2449.159912109375,228,,,,,,2023-05-26 10:05:00-04:00
18,2446.10009765625,2448.43994140625,2446.10009765625,2448.43994140625,2448.43994140625,454,,,,,,2023-05-26 10:06:00-04:00
19,2444.669921875,2444.669921875,2444.669921875,2444.669921875,2444.669921875,132,,,,,,2023-05-26 10:07:00-04:00
20,2444.010009765625,2444.530029296875,2444.010009765625,2444.530029296875,2444.530029296875,375,,,,,,2023-05-26 10:08:00-04:00
21,2445.510009765625,2445.510009765625,2445.510009765625,2445.510009765625,2445.510009765625,206,,,,,,2023-05-26 10:09:00-04:00
22,2446.18994140625,2446.18994140625,2446.18994140625,2446.18994140625,2446.18994140625,571,,,,,,2023-05-26 10:10:00-04:00
23,2444.054931640625,2444.054931640625,2444.054931640625,2444.054931640625,2444.054931640625,344,,,,,,2023-05-26 10:13:00-04:00
24,2445.14990234375,2445.14990234375,2445.14990234375,2445.14990234375,2445.14990234375,361,,,,,,2023-05-26 10:15:00-04:00
25,2443.919921875,2443.919921875,2443.919921875,2443.919921875,2443.919921875,139,,,,,,2023-05-26 10:17:00-04:00
26,2443.125,2443.125,2443.125,2443.125,2443.125,322,,,,,,2023-05-26 10:18:00-04:00
27,2441.239990234375,2441.239990234375,2441.239990234375,2441.239990234375,2441.239990234375,300,,,,,,2023-05-26 10:19:00-04:00
28,2440.010009765625,2441.239990234375,2439.989990234375,2439.989990234375,2439.989990234375,1536,,,,,,2023-05-26 10:20:00-04:00
29,2438.3798828125,2441.179931640625,2438.3798828125,2441.179931640625,2441.179931640625,1520,,,,,,2023-05-26 10:21:00-04:00
30,2440.070068359375,2440.070068359375,2440.070068359375,2440.070068359375,2440.070068359375,106,,,,,,2023-05-26 10:24:00-04:00
