Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date.2,Date.3,Date.4,Date
0,31.600000381469727,31.65999984741211,31.56999969482422,31.61000061035156,31.61000061035156,70945,2023-05-24 09:30:00-04:00,,,,
1,31.670000076293945,31.735000610351562,31.579999923706055,31.670000076293945,31.670000076293945,89025,,,,,2023-05-25 09:30:00-04:00
2,31.670000076293945,31.760000228881836,31.639999389648438,31.71500015258789,31.71500015258789,43269,,,,,2023-05-25 09:31:00-04:00
3,31.700000762939453,31.700000762939453,31.520000457763672,31.52989959716797,31.52989959716797,24230,,,,,2023-05-25 09:32:00-04:00
4,31.530000686645508,31.549999237060547,31.530000686645508,31.545000076293945,31.545000076293945,2317,,,,,2023-05-25 09:33:00-04:00
5,31.540000915527344,31.540000915527344,31.430099487304688,31.459999084472656,31.459999084472656,16058,,,,,2023-05-25 09:34:00-04:00
6,31.440000534057617,31.459999084472656,31.40999984741211,31.44499969482422,31.44499969482422,19671,,,,,2023-05-25 09:35:00-04:00
7,31.440000534057617,31.440000534057617,31.334999084472656,31.350000381469727,31.350000381469727,12271,,,,,2023-05-25 09:36:00-04:00
8,31.34000015258789,31.36989974975586,31.299999237060547,31.360000610351562,31.360000610351562,12766,,,,,2023-05-25 09:37:00-04:00
9,31.3700008392334,31.450000762939453,31.3700008392334,31.440000534057617,31.440000534057617,9330,,,,,2023-05-25 09:38:00-04:00
10,31.449899673461914,31.489999771118164,31.440000534057617,31.479999542236328,31.479999542236328,8548,,,,,2023-05-25 09:39:00-04:00
11,31.485000610351562,31.57990074157715,31.46500015258789,31.56999969482422,31.56999969482422,13244,,,,,2023-05-25 09:40:00-04:00
12,31.559999465942383,31.559999465942383,31.520000457763672,31.530000686645508,31.530000686645508,10032,,,,,2023-05-25 09:41:00-04:00
13,31.530000686645508,31.594999313354492,31.510000228881836,31.594999313354492,31.594999313354492,14987,,,,,2023-05-25 09:42:00-04:00
14,31.610000610351562,31.6200008392334,31.575000762939453,31.610000610351562,31.610000610351562,13549,,,,,2023-05-25 09:43:00-04:00
15,31.600000381469727,31.639999389648438,31.600000381469727,31.639999389648438,31.639999389648438,11984,,,,,2023-05-25 09:44:00-04:00
16,31.649999618530273,31.684999465942383,31.639999389648438,31.684999465942383,31.684999465942383,20288,,,,,2023-05-25 09:45:00-04:00
17,31.684999465942383,31.709999084472656,31.655000686645508,31.670000076293945,31.670000076293945,13998,,,,,2023-05-25 09:46:00-04:00
18,31.68000030517578,31.704999923706055,31.670000076293945,31.690000534057617,31.690000534057617,15263,,,,,2023-05-25 09:47:00-04:00
19,31.69499969482422,31.700000762939453,31.670000076293945,31.684999465942383,31.684999465942383,14627,,,,,2023-05-25 09:48:00-04:00
20,31.68000030517578,31.684999465942383,31.6200008392334,31.649999618530273,31.649999618530273,49267,,,,,2023-05-25 09:49:00-04:00
