Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date
65,134.1699981689453,134.1999969482422,134.13999938964844,134.13999938964844,134.13999938964844,2797,,2023-05-23 10:34:00-04:00
66,134.0800018310547,134.0800018310547,134.0800018310547,134.0800018310547,134.0800018310547,583,,2023-05-23 10:35:00-04:00
67,134.11000061035156,134.17999267578125,134.11000061035156,134.13999938964844,134.13999938964844,2816,,2023-05-23 10:36:00-04:00
68,134.09500122070312,134.11000061035156,133.99000549316406,134.0500030517578,134.0500030517578,1586,,2023-05-23 10:37:00-04:00
69,134.1199951171875,134.13999938964844,133.97999572753906,134.09640502929688,134.09640502929688,1721,,2023-05-23 10:38:00-04:00
70,134.02499389648438,134.0998992919922,134.02499389648438,134.0800018310547,134.0800018310547,1750,,2023-05-23 10:39:00-04:00
71,134.08990478515625,134.16000366210938,134.08990478515625,134.1300048828125,134.1300048828125,1838,,2023-05-23 10:40:00-04:00
72,134.13999938964844,134.14999389648438,134.0500030517578,134.0500030517578,134.0500030517578,2006,,2023-05-23 10:41:00-04:00
73,134.0,134.0,134.0,134.0,134.0,495,,2023-05-23 10:42:00-04:00
74,133.97999572753906,133.97999572753906,133.97999572753906,133.97999572753906,133.97999572753906,403,,2023-05-23 10:43:00-04:00
75,133.81039428710938,133.81039428710938,133.7100067138672,133.7100067138672,133.7100067138672,523,,2023-05-23 10:44:00-04:00
76,133.6300048828125,133.7100067138672,133.6300048828125,133.6999969482422,133.6999969482422,3213,,2023-05-23 10:45:00-04:00
77,133.57000732421875,133.66000366210938,133.57000732421875,133.66000366210938,133.66000366210938,1405,,2023-05-23 10:46:00-04:00
78,133.66000366210938,133.8300018310547,133.66000366210938,133.8300018310547,133.8300018310547,3161,,2023-05-23 10:47:00-04:00
79,133.8699951171875,133.9199981689453,133.8699951171875,133.9199981689453,133.9199981689453,1561,,2023-05-23 10:48:00-04:00
80,133.88499450683594,133.99000549316406,133.88499450683594,133.99000549316406,133.99000549316406,3457,,2023-05-23 10:49:00-04:00
81,134.02999877929688,134.02999877929688,133.9600067138672,133.99000549316406,133.99000549316406,1644,,2023-05-23 10:50:00-04:00
82,133.9600067138672,134.0850067138672,133.9600067138672,134.0850067138672,134.0850067138672,1219,,2023-05-23 10:51:00-04:00
83,134.0760040283203,134.0760040283203,134.0760040283203,134.0760040283203,134.0760040283203,400,,2023-05-23 10:52:00-04:00
84,134.05999755859375,134.05999755859375,134.0,134.00999450683594,134.00999450683594,2025,,2023-05-23 10:53:00-04:00
85,134.0926055908203,134.1300048828125,134.05999755859375,134.10499572753906,134.10499572753906,2526,,2023-05-23 10:54:00-04:00
86,134.10000610351562,134.1024932861328,133.9600067138672,133.9600067138672,133.9600067138672,682,,2023-05-23 10:55:00-04:00
87,133.9600067138672,134.02000427246094,133.89999389648438,134.02000427246094,134.02000427246094,1098,,2023-05-23 10:56:00-04:00
88,134.00999450683594,134.00999450683594,133.9600067138672,134.00999450683594,134.00999450683594,906,,2023-05-23 10:57:00-04:00
89,134.0399932861328,134.0399932861328,134.03500366210938,134.03500366210938,134.03500366210938,1028,,2023-05-23 10:58:00-04:00
90,133.99000549316406,133.99000549316406,133.8800048828125,133.94749450683594,133.94749450683594,3409,,2023-05-23 10:59:00-04:00
91,134.0,134.0,133.92999267578125,133.9499969482422,133.9499969482422,3186,,2023-05-23 11:00:00-04:00
92,133.9199981689453,133.9199981689453,133.77000427246094,133.85000610351562,133.85000610351562,6577,,2023-05-23 11:01:00-04:00
93,133.91000366210938,133.91000366210938,133.91000366210938,133.91000366210938,133.91000366210938,289,,2023-05-23 11:02:00-04:00
94,133.9600067138672,133.9600067138672,133.9600067138672,133.9600067138672,133.9600067138672,2292,,2023-05-23 11:03:00-04:00
95,133.9600067138672,133.9600067138672,133.9600067138672,133.9600067138672,133.9600067138672,890,,2023-05-23 11:04:00-04:00
96,133.89999389648438,133.89999389648438,133.89999389648438,133.89999389648438,133.89999389648438,157,,2023-05-23 11:05:00-04:00
97,133.89999389648438,133.89999389648438,133.83999633789062,133.86000061035156,133.86000061035156,1530,,2023-05-23 11:06:00-04:00
98,133.8000030517578,133.86000061035156,133.8000030517578,133.86000061035156,133.86000061035156,627,,2023-05-23 11:07:00-04:00
99,133.89999389648438,133.92999267578125,133.8699951171875,133.8699951171875,133.8699951171875,1229,,2023-05-23 11:08:00-04:00
100,133.82000732421875,133.9149932861328,133.82000732421875,133.9149932861328,133.9149932861328,3240,,2023-05-23 11:09:00-04:00
101,133.99000549316406,134.0500030517578,133.99000549316406,134.0500030517578,134.0500030517578,1263,,2023-05-23 11:10:00-04:00
102,134.0050048828125,134.0946044921875,134.0,134.0946044921875,134.0946044921875,1015,,2023-05-23 11:11:00-04:00
103,134.05999755859375,134.05999755859375,134.0500030517578,134.0500030517578,134.0500030517578,850,,2023-05-23 11:12:00-04:00
104,134.10000610351562,134.1999969482422,134.0800018310547,134.1999969482422,134.1999969482422,9449,,2023-05-23 11:13:00-04:00
105,134.25999450683594,134.27999877929688,134.25999450683594,134.27000427246094,134.27000427246094,1630,,2023-05-23 11:14:00-04:00
106,134.25999450683594,134.27000427246094,134.1999969482422,134.2100067138672,134.2100067138672,1602,,2023-05-23 11:15:00-04:00
107,134.2825927734375,134.2949981689453,134.22999572753906,134.2899932861328,134.2899932861328,948,,2023-05-23 11:16:00-04:00
108,134.28500366210938,134.28500366210938,134.1999969482422,134.24989318847656,134.24989318847656,1107,,2023-05-23 11:17:00-04:00
109,134.18499755859375,134.22000122070312,134.18499755859375,134.218505859375,134.218505859375,1282,,2023-05-23 11:18:00-04:00
110,134.22000122070312,134.25999450683594,134.22000122070312,134.22999572753906,134.22999572753906,1899,,2023-05-23 11:19:00-04:00
111,134.1300048828125,134.16000366210938,134.1199951171875,134.1199951171875,134.1199951171875,649,,2023-05-23 11:20:00-04:00
112,134.22999572753906,134.27999877929688,134.2135009765625,134.27999877929688,134.27999877929688,1799,,2023-05-23 11:21:00-04:00
113,134.31790161132812,134.31790161132812,134.27999877929688,134.27999877929688,134.27999877929688,1212,,2023-05-23 11:22:00-04:00
114,134.30999755859375,134.30999755859375,134.30999755859375,134.30999755859375,134.30999755859375,505,,2023-05-23 11:23:00-04:00
115,134.24000549316406,134.27000427246094,134.24000549316406,134.27000427246094,134.27000427246094,1128,,2023-05-23 11:24:00-04:00
116,134.25,134.27999877929688,134.25,134.27999877929688,134.27999877929688,912,,2023-05-23 11:25:00-04:00
117,134.3000030517578,134.3000030517578,134.3000030517578,134.3000030517578,134.3000030517578,492,,2023-05-23 11:26:00-04:00
118,134.25999450683594,134.27999877929688,134.25999450683594,134.27999877929688,134.27999877929688,1195,,2023-05-23 11:27:00-04:00
119,134.2899932861328,134.33999633789062,134.2899932861328,134.33999633789062,134.33999633789062,1035,,2023-05-23 11:28:00-04:00
120,134.3000030517578,134.32000732421875,134.2301025390625,134.2899932861328,134.2899932861328,1965,,2023-05-23 11:29:00-04:00
121,134.2899932861328,134.2899932861328,134.22999572753906,134.22999572753906,134.22999572753906,713,,2023-05-23 11:30:00-04:00
122,134.22999572753906,134.22999572753906,134.11000061035156,134.11000061035156,134.11000061035156,1223,,2023-05-23 11:31:00-04:00
123,134.24000549316406,134.24000549316406,134.22999572753906,134.24000549316406,134.24000549316406,1059,,2023-05-23 11:32:00-04:00
124,134.16000366210938,134.16000366210938,134.0800018310547,134.0800018310547,134.0800018310547,919,,2023-05-23 11:33:00-04:00
125,134.14999389648438,134.14999389648438,134.14999389648438,134.14999389648438,134.14999389648438,468,,2023-05-23 11:34:00-04:00
126,134.07000732421875,134.07000732421875,134.07000732421875,134.07000732421875,134.07000732421875,951,,2023-05-23 11:35:00-04:00
127,134.0,134.0399932861328,133.97999572753906,134.0399932861328,134.0399932861328,1957,,2023-05-23 11:36:00-04:00
128,134.11000061035156,134.1898956298828,134.10989379882812,134.10989379882812,134.10989379882812,1616,,2023-05-23 11:37:00-04:00
129,134.10000610351562,134.10000610351562,134.07000732421875,134.07000732421875,134.07000732421875,743,,2023-05-23 11:38:00-04:00
130,134.13999938964844,134.14999389648438,134.13999938964844,134.13999938964844,134.13999938964844,776,,2023-05-23 11:39:00-04:00
131,134.16000366210938,134.27000427246094,134.16000366210938,134.27000427246094,134.27000427246094,1420,,2023-05-23 11:40:00-04:00
132,134.2449951171875,134.2449951171875,134.2100067138672,134.22999572753906,134.22999572753906,1296,,2023-05-23 11:41:00-04:00
133,134.22999572753906,134.24000549316406,134.22999572753906,134.24000549316406,134.24000549316406,1349,,2023-05-23 11:42:00-04:00
134,134.27000427246094,134.2899932861328,134.27000427246094,134.2899932861328,134.2899932861328,894,,2023-05-23 11:43:00-04:00
135,134.27499389648438,134.27999877929688,134.25,134.25,134.25,429,,2023-05-23 11:44:00-04:00
136,134.32000732421875,134.32000732421875,134.3000030517578,134.30999755859375,134.30999755859375,1252,,2023-05-23 11:45:00-04:00
137,134.25999450683594,134.3000030517578,134.25999450683594,134.3000030517578,134.3000030517578,860,,2023-05-23 11:46:00-04:00
138,134.3699951171875,134.3699951171875,134.27000427246094,134.27000427246094,134.27000427246094,1550,,2023-05-23 11:47:00-04:00
139,134.2899932861328,134.2899932861328,134.27999877929688,134.27999877929688,134.27999877929688,1070,,2023-05-23 11:48:00-04:00
140,134.24000549316406,134.32000732421875,134.24000549316406,134.24000549316406,134.24000549316406,3634,,2023-05-23 11:49:00-04:00
141,134.25750732421875,134.25750732421875,134.25750732421875,134.25750732421875,134.25750732421875,1986,,2023-05-23 11:50:00-04:00
142,134.27999877929688,134.32000732421875,134.27999877929688,134.3000030517578,134.3000030517578,1422,,2023-05-23 11:51:00-04:00
143,134.2899932861328,134.39999389648438,134.2899932861328,134.39999389648438,134.39999389648438,1345,,2023-05-23 11:52:00-04:00
144,134.42999267578125,134.4499969482422,134.39999389648438,134.39999389648438,134.39999389648438,1996,,2023-05-23 11:53:00-04:00
145,134.28399658203125,134.28399658203125,134.28399658203125,134.28399658203125,134.28399658203125,300,,2023-05-23 11:54:00-04:00
146,134.1999969482422,134.22000122070312,134.0500030517578,134.0500030517578,134.0500030517578,3486,,2023-05-23 11:55:00-04:00
147,134.02999877929688,134.02999877929688,134.00999450683594,134.02000427246094,134.02000427246094,1404,,2023-05-23 11:56:00-04:00
148,133.97000122070312,133.97000122070312,133.89999389648438,133.89999389648438,133.89999389648438,1535,,2023-05-23 11:57:00-04:00
149,133.97000122070312,133.97000122070312,133.9149932861328,133.9149932861328,133.9149932861328,841,,2023-05-23 11:58:00-04:00
150,133.86000061035156,133.86000061035156,133.77999877929688,133.77999877929688,133.77999877929688,797,,2023-05-23 11:59:00-04:00
151,133.78500366210938,133.8000030517578,133.76499938964844,133.8000030517578,133.8000030517578,2921,,2023-05-23 12:00:00-04:00
152,133.8000030517578,133.89999389648438,133.79750061035156,133.89999389648438,133.89999389648438,3819,,2023-05-23 12:02:00-04:00
153,133.9250030517578,134.0399932861328,133.9250030517578,134.0279998779297,134.0279998779297,2836,,2023-05-23 12:03:00-04:00
154,134.05999755859375,134.05999755859375,134.02999877929688,134.02999877929688,134.02999877929688,950,,2023-05-23 12:04:00-04:00
155,134.0500030517578,134.07989501953125,134.0,134.0,134.0,2293,,2023-05-23 12:05:00-04:00
156,134.0,134.0,133.91000366210938,133.9600067138672,133.9600067138672,1997,,2023-05-23 12:06:00-04:00
157,133.9600067138672,134.05499267578125,133.9600067138672,133.99000549316406,133.99000549316406,1355,,2023-05-23 12:07:00-04:00
158,134.11000061035156,134.1199951171875,134.0323944091797,134.10000610351562,134.10000610351562,1714,,2023-05-23 12:08:00-04:00
159,134.11000061035156,134.1199951171875,134.07000732421875,134.07000732421875,134.07000732421875,857,,2023-05-23 12:09:00-04:00
160,134.06500244140625,134.06500244140625,134.0399932861328,134.0399932861328,134.0399932861328,544,,2023-05-23 12:10:00-04:00
161,134.0449981689453,134.0449981689453,133.8800048828125,133.8800048828125,133.8800048828125,1371,,2023-05-23 12:11:00-04:00
162,133.85499572753906,134.02000427246094,133.85499572753906,134.02000427246094,134.02000427246094,2250,,2023-05-23 12:12:00-04:00
163,134.0399932861328,134.08999633789062,134.00999450683594,134.08999633789062,134.08999633789062,2234,,2023-05-23 12:13:00-04:00
164,134.0050048828125,134.0050048828125,133.97000122070312,133.97000122070312,133.97000122070312,1856,,2023-05-23 12:15:00-04:00
165,133.94000244140625,133.97500610351562,133.94000244140625,133.97500610351562,133.97500610351562,1082,,2023-05-23 12:16:00-04:00
166,133.97000122070312,133.97000122070312,133.97000122070312,133.97000122070312,133.97000122070312,281,,2023-05-23 12:17:00-04:00
167,133.97000122070312,134.03500366210938,133.9199981689453,133.9199981689453,133.9199981689453,2420,,2023-05-23 12:18:00-04:00
168,133.90499877929688,133.90499877929688,133.90499877929688,133.90499877929688,133.90499877929688,317,,2023-05-23 12:19:00-04:00
169,133.88999938964844,133.9600067138672,133.88999938964844,133.9600067138672,133.9600067138672,797,,2023-05-23 12:20:00-04:00
170,133.9600067138672,133.9600067138672,133.9600067138672,133.9600067138672,133.9600067138672,894,,2023-05-23 12:21:00-04:00
171,133.9499969482422,133.99000549316406,133.94000244140625,133.97999572753906,133.97999572753906,1726,,2023-05-23 12:22:00-04:00
172,134.0500030517578,134.0500030517578,134.0500030517578,134.0500030517578,134.0500030517578,831,,2023-05-23 12:23:00-04:00
173,134.05999755859375,134.08999633789062,134.05999755859375,134.08999633789062,134.08999633789062,1650,,2023-05-23 12:24:00-04:00
174,134.08999633789062,134.08999633789062,134.08999633789062,134.08999633789062,134.08999633789062,345,,2023-05-23 12:25:00-04:00
175,134.0399932861328,134.07000732421875,134.0399932861328,134.07000732421875,134.07000732421875,1315,,2023-05-23 12:26:00-04:00
176,134.0399932861328,134.05999755859375,133.97999572753906,133.97999572753906,133.97999572753906,1228,,2023-05-23 12:27:00-04:00
177,134.00999450683594,134.1699981689453,134.00999450683594,134.1699981689453,134.1699981689453,1970,,2023-05-23 12:28:00-04:00
178,134.16000366210938,134.17999267578125,134.14999389648438,134.17999267578125,134.17999267578125,965,,2023-05-23 12:29:00-04:00
179,134.17999267578125,134.2386016845703,134.10000610351562,134.10000610351562,134.10000610351562,2121,,2023-05-23 12:30:00-04:00
180,134.12339782714844,134.16000366210938,134.12339782714844,134.16000366210938,134.16000366210938,1397,,2023-05-23 12:31:00-04:00
181,134.19000244140625,134.1999969482422,134.19000244140625,134.1999969482422,134.1999969482422,609,,2023-05-23 12:33:00-04:00
182,134.1490020751953,134.1750030517578,134.1490020751953,134.1750030517578,134.1750030517578,1032,,2023-05-23 12:34:00-04:00
183,134.05999755859375,134.05999755859375,133.86000061035156,133.86000061035156,133.86000061035156,3000,,2023-05-23 12:35:00-04:00
184,133.88499450683594,133.88499450683594,133.88499450683594,133.88499450683594,133.88499450683594,639,,2023-05-23 12:36:00-04:00
185,133.8300018310547,133.8300018310547,133.73500061035156,133.73500061035156,133.73500061035156,2312,,2023-05-23 12:37:00-04:00
186,133.72000122070312,133.72000122070312,133.4499969482422,133.52999877929688,133.52999877929688,3133,,2023-05-23 12:38:00-04:00
187,133.5800018310547,133.67999267578125,133.5800018310547,133.67999267578125,133.67999267578125,1074,,2023-05-23 12:39:00-04:00
188,133.67999267578125,133.67999267578125,133.59800720214844,133.59800720214844,133.59800720214844,1459,,2023-05-23 12:40:00-04:00
189,133.55999755859375,133.5800018310547,133.55999755859375,133.5800018310547,133.5800018310547,314,,2023-05-23 12:41:00-04:00
190,133.47999572753906,133.50999450683594,133.35009765625,133.35009765625,133.35009765625,2137,,2023-05-23 12:42:00-04:00
191,133.4499053955078,133.48500061035156,133.41000366210938,133.41000366210938,133.41000366210938,2241,,2023-05-23 12:43:00-04:00
192,133.30999755859375,133.36309814453125,133.2899932861328,133.36309814453125,133.36309814453125,1911,,2023-05-23 12:44:00-04:00
193,133.32000732421875,133.41000366210938,133.32000732421875,133.35000610351562,133.35000610351562,2963,,2023-05-23 12:45:00-04:00
194,133.4600067138672,133.4600067138672,133.4600067138672,133.4600067138672,133.4600067138672,109,,2023-05-23 12:46:00-04:00
195,133.4600067138672,133.52000427246094,133.38999938964844,133.41000366210938,133.41000366210938,12741,,2023-05-23 12:47:00-04:00
196,133.41000366210938,133.5749969482422,133.40890502929688,133.5749969482422,133.5749969482422,3721,,2023-05-23 12:48:00-04:00
