Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date.2,Date.3,Date.4,Date.5,Date.6,Date.7,Date.8,Date
0,124.6500015258789,124.6500015258789,124.5999984741211,124.5999984741211,124.5999984741211,0,2023-05-24 09:00:00+02:00,,,,,,,,
1,120.5,120.55000305175781,120.30000305175781,120.44999694824219,120.44999694824219,0,,,,,,,,,2023-05-31 09:00:00+02:00
2,120.55000305175781,120.55000305175781,120.55000305175781,120.55000305175781,120.55000305175781,32,,,,,,,,,2023-05-31 09:01:00+02:00
3,120.44999694824219,120.44999694824219,120.3499984741211,120.3499984741211,120.3499984741211,886,,,,,,,,,2023-05-31 09:02:00+02:00
4,120.44999694824219,120.5,120.3499984741211,120.44999694824219,120.44999694824219,608,,,,,,,,,2023-05-31 09:03:00+02:00
5,120.44999694824219,120.44999694824219,120.44999694824219,120.44999694824219,120.44999694824219,407,,,,,,,,,2023-05-31 09:04:00+02:00
6,120.4000015258789,120.5,120.4000015258789,120.4000015258789,120.4000015258789,1335,,,,,,,,,2023-05-31 09:05:00+02:00
7,120.55000305175781,120.55000305175781,120.55000305175781,120.55000305175781,120.55000305175781,136,,,,,,,,,2023-05-31 09:06:00+02:00
8,120.55000305175781,120.55000305175781,120.55000305175781,120.55000305175781,120.55000305175781,163,,,,,,,,,2023-05-31 09:07:00+02:00
9,120.5,120.5,120.5,120.5,120.5,109,,,,,,,,,2023-05-31 09:08:00+02:00
10,120.44999694824219,120.5,120.44999694824219,120.5,120.5,179,,,,,,,,,2023-05-31 09:09:00+02:00
11,120.55000305175781,120.55000305175781,120.55000305175781,120.55000305175781,120.55000305175781,512,,,,,,,,,2023-05-31 09:12:00+02:00
12,120.5,120.5,120.5,120.5,120.5,45,,,,,,,,,2023-05-31 09:13:00+02:00
13,120.44999694824219,120.44999694824219,120.4000015258789,120.4000015258789,120.4000015258789,484,,,,,,,,,2023-05-31 09:14:00+02:00
14,120.3499984741211,120.4000015258789,120.3499984741211,120.3499984741211,120.3499984741211,331,,,,,,,,,2023-05-31 09:15:00+02:00
15,120.44999694824219,120.44999694824219,120.44999694824219,120.44999694824219,120.44999694824219,87,,,,,,,,,2023-05-31 09:16:00+02:00
16,120.3499984741211,120.3499984741211,120.30000305175781,120.30000305175781,120.30000305175781,186,,,,,,,,,2023-05-31 09:19:00+02:00
17,120.3499984741211,120.44999694824219,120.3499984741211,120.4000015258789,120.4000015258789,260,,,,,,,,,2023-05-31 09:21:00+02:00
18,120.3499984741211,120.3499984741211,120.3499984741211,120.3499984741211,120.3499984741211,205,,,,,,,,,2023-05-31 09:22:00+02:00
19,120.4000015258789,120.4000015258789,120.4000015258789,120.4000015258789,120.4000015258789,315,,,,,,,,,2023-05-31 09:24:00+02:00
20,120.4000015258789,120.4000015258789,120.4000015258789,120.4000015258789,120.4000015258789,32,,,,,,,,,2023-05-31 09:28:00+02:00
21,120.3499984741211,120.3499984741211,120.3499984741211,120.3499984741211,120.3499984741211,183,,,,,,,,,2023-05-31 09:29:00+02:00
22,120.3499984741211,120.3499984741211,120.3499984741211,120.3499984741211,120.3499984741211,256,,,,,,,,,2023-05-31 09:30:00+02:00
23,120.4000015258789,120.4000015258789,120.3499984741211,120.3499984741211,120.3499984741211,123,,,,,,,,,2023-05-31 09:32:00+02:00
24,120.19999694824219,120.19999694824219,120.05000305175781,120.0999984741211,120.0999984741211,6270,,,,,,,,,2023-05-31 09:34:00+02:00
25,120.19999694824219,120.19999694824219,120.05000305175781,120.05000305175781,120.05000305175781,700,,,,,,,,,2023-05-31 09:35:00+02:00
26,120.05000305175781,120.05000305175781,120.05000305175781,120.05000305175781,120.05000305175781,216,,,,,,,,,2023-05-31 09:36:00+02:00
27,120.0,120.0,119.8499984741211,119.9000015258789,119.9000015258789,2972,,,,,,,,,2023-05-31 09:39:00+02:00
28,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,221,,,,,,,,,2023-05-31 09:40:00+02:00
29,119.94999694824219,119.94999694824219,119.94999694824219,119.94999694824219,119.94999694824219,60,,,,,,,,,2023-05-31 09:41:00+02:00
30,120.0,120.0,120.0,120.0,120.0,167,,,,,,,,,2023-05-31 09:43:00+02:00
31,120.0,120.0,120.0,120.0,120.0,378,,,,,,,,,2023-05-31 09:45:00+02:00
32,120.0,120.0,120.0,120.0,120.0,47,,,,,,,,,2023-05-31 09:46:00+02:00
33,120.05000305175781,120.0999984741211,120.05000305175781,120.05000305175781,120.05000305175781,553,,,,,,,,,2023-05-31 09:48:00+02:00
34,120.0,120.0,120.0,120.0,120.0,75,,,,,,,,,2023-05-31 09:49:00+02:00
35,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,170,,,,,,,,,2023-05-31 09:50:00+02:00
36,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,180,,,,,,,,,2023-05-31 09:52:00+02:00
37,119.94999694824219,119.94999694824219,119.94999694824219,119.94999694824219,119.94999694824219,216,,,,,,,,,2023-05-31 09:54:00+02:00
38,120.05000305175781,120.05000305175781,120.05000305175781,120.05000305175781,120.05000305175781,30,,,,,,,,,2023-05-31 09:55:00+02:00
39,120.05000305175781,120.05000305175781,120.05000305175781,120.05000305175781,120.05000305175781,29,,,,,,,,,2023-05-31 09:56:00+02:00
40,120.0,120.0,119.94999694824219,119.94999694824219,119.94999694824219,377,,,,,,,,,2023-05-31 09:57:00+02:00
41,120.0,120.0,120.0,120.0,120.0,245,,,,,,,,,2023-05-31 09:58:00+02:00
42,119.94999694824219,119.94999694824219,119.94999694824219,119.94999694824219,119.94999694824219,78,,,,,,,,,2023-05-31 09:59:00+02:00
43,119.94999694824219,119.94999694824219,119.94999694824219,119.94999694824219,119.94999694824219,127,,,,,,,,,2023-05-31 10:01:00+02:00
44,119.9000015258789,119.9000015258789,119.8499984741211,119.8499984741211,119.8499984741211,364,,,,,,,,,2023-05-31 10:02:00+02:00
45,119.8499984741211,119.8499984741211,119.8499984741211,119.8499984741211,119.8499984741211,155,,,,,,,,,2023-05-31 10:04:00+02:00
46,119.8499984741211,119.8499984741211,119.8499984741211,119.8499984741211,119.8499984741211,9,,,,,,,,,2023-05-31 10:06:00+02:00
47,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,119.9000015258789,428,,,,,,,,,2023-05-31 10:07:00+02:00
48,119.94999694824219,119.94999694824219,119.94999694824219,119.94999694824219,119.94999694824219,61,,,,,,,,,2023-05-31 10:08:00+02:00
49,119.94999694824219,119.94999694824219,119.94999694824219,119.94999694824219,119.94999694824219,156,,,,,,,,,2023-05-31 10:09:00+02:00
50,120.05000305175781,120.05000305175781,120.0,120.0,120.0,60,,,,,,,,,2023-05-31 10:10:00+02:00
51,120.05000305175781,120.05000305175781,120.0,120.05000305175781,120.05000305175781,1272,,,,,,,,,2023-05-31 10:11:00+02:00
52,120.05000305175781,120.05000305175781,120.05000305175781,120.05000305175781,120.05000305175781,37,,,,,,,,,2023-05-31 10:12:00+02:00
53,120.0999984741211,120.0999984741211,120.0999984741211,120.0999984741211,120.0999984741211,48,,,,,,,,,2023-05-31 10:13:00+02:00
54,120.05000305175781,120.05000305175781,120.05000305175781,120.05000305175781,120.05000305175781,159,,,,,,,,,2023-05-31 10:14:00+02:00
55,120.0,120.0,120.0,120.0,120.0,786,,,,,,,,,2023-05-31 10:16:00+02:00
56,120.0,120.0,120.0,120.0,120.0,120,,,,,,,,,2023-05-31 10:17:00+02:00
57,120.05000305175781,120.05000305175781,120.05000305175781,120.05000305175781,120.05000305175781,40,,,,,,,,,2023-05-31 10:19:00+02:00
58,120.0999984741211,120.25,120.0999984741211,120.19999694824219,120.19999694824219,1698,,,,,,,,,2023-05-31 10:21:00+02:00
59,120.19999694824219,120.19999694824219,120.19999694824219,120.19999694824219,120.19999694824219,185,,,,,,,,,2023-05-31 10:22:00+02:00
60,120.25,120.25,120.25,120.25,120.25,189,,,,,,,,,2023-05-31 10:24:00+02:00
61,120.25,120.25,120.25,120.25,120.25,500,,,,,,,,,2023-05-31 10:25:00+02:00
62,120.30000305175781,120.30000305175781,120.30000305175781,120.30000305175781,120.30000305175781,74,,,,,,,,,2023-05-31 10:26:00+02:00
63,120.25,120.30000305175781,120.25,120.30000305175781,120.30000305175781,225,,,,,,,,,2023-05-31 10:29:00+02:00
64,120.30000305175781,120.30000305175781,120.30000305175781,120.30000305175781,120.30000305175781,400,,,,,,,,,2023-05-31 10:31:00+02:00
65,120.30000305175781,120.30000305175781,120.30000305175781,120.30000305175781,120.30000305175781,421,,,,,,,,,2023-05-31 10:32:00+02:00
66,120.3499984741211,120.3499984741211,120.3499984741211,120.3499984741211,120.3499984741211,65,,,,,,,,,2023-05-31 10:33:00+02:00
67,120.3499984741211,120.3499984741211,120.3499984741211,120.3499984741211,120.3499984741211,179,,,,,,,,,2023-05-31 10:35:00+02:00
68,120.30000305175781,120.30000305175781,120.30000305175781,120.30000305175781,120.30000305175781,30,,,,,,,,,2023-05-31 10:36:00+02:00
69,120.30000305175781,120.30000305175781,120.25,120.25,120.25,854,,,,,,,,,2023-05-31 10:38:00+02:00
70,120.25,120.25,120.19999694824219,120.19999694824219,120.19999694824219,378,,,,,,,,,2023-05-31 10:39:00+02:00
71,120.19999694824219,120.19999694824219,120.19999694824219,120.19999694824219,120.19999694824219,20,,,,,,,,,2023-05-31 10:42:00+02:00
72,120.1500015258789,120.1500015258789,120.1500015258789,120.1500015258789,120.1500015258789,330,,,,,,,,,2023-05-31 10:44:00+02:00
73,120.19999694824219,120.19999694824219,120.19999694824219,120.19999694824219,120.19999694824219,401,,,,,,,,,2023-05-31 10:45:00+02:00
74,120.19999694824219,120.19999694824219,120.19999694824219,120.19999694824219,120.19999694824219,134,,,,,,,,,2023-05-31 10:46:00+02:00
75,120.1500015258789,120.25,120.1500015258789,120.25,120.25,952,,,,,,,,,2023-05-31 10:48:00+02:00
76,120.30000305175781,120.30000305175781,120.30000305175781,120.30000305175781,120.30000305175781,734,,,,,,,,,2023-05-31 10:49:00+02:00
77,120.30000305175781,120.3499984741211,120.30000305175781,120.3499984741211,120.3499984741211,1068,,,,,,,,,2023-05-31 10:51:00+02:00
78,120.3499984741211,120.3499984741211,120.30000305175781,120.30000305175781,120.30000305175781,385,,,,,,,,,2023-05-31 10:52:00+02:00
79,120.3499984741211,120.3499984741211,120.3499984741211,120.3499984741211,120.3499984741211,271,,,,,,,,,2023-05-31 10:53:00+02:00
80,120.3499984741211,120.4000015258789,120.3499984741211,120.3499984741211,120.3499984741211,507,,,,,,,,,2023-05-31 10:54:00+02:00
81,120.4000015258789,120.4000015258789,120.4000015258789,120.4000015258789,120.4000015258789,296,,,,,,,,,2023-05-31 10:55:00+02:00
82,120.4000015258789,120.4000015258789,120.4000015258789,120.4000015258789,120.4000015258789,389,,,,,,,,,2023-05-31 10:56:00+02:00
83,120.4000015258789,120.4000015258789,120.4000015258789,120.4000015258789,120.4000015258789,343,,,,,,,,,2023-05-31 10:57:00+02:00
84,120.4000015258789,120.4000015258789,120.4000015258789,120.4000015258789,120.4000015258789,0,,,,,,,,,2023-05-31 11:00:00+02:00
85,120.4000015258789,120.4000015258789,120.4000015258789,120.4000015258789,120.4000015258789,41434,,,,,,,,,2023-05-31 11:01:00+02:00
86,120.4000015258789,120.5999984741211,120.4000015258789,120.5999984741211,120.5999984741211,2060,,,,,,,,,2023-05-31 11:02:00+02:00
87,120.5999984741211,120.5999984741211,120.55000305175781,120.55000305175781,120.55000305175781,794,,,,,,,,,2023-05-31 11:03:00+02:00
88,120.5999984741211,120.5999984741211,120.5999984741211,120.5999984741211,120.5999984741211,859,,,,,,,,,2023-05-31 11:04:00+02:00
