Date,Open,High,Low,Close,Adj Close,Volume,Date
2023-05-24 09:30:00-04:00,196.0800018310547,196.5,195.875,196.23500061035156,196.23500061035156,16560,2023-05-24 09:30:00-04:00
2023-05-24 09:31:00-04:00,195.8699951171875,195.9600067138672,195.6199951171875,195.92999267578125,195.92999267578125,3033,2023-05-24 09:31:00-04:00
2023-05-24 09:32:00-04:00,195.8975067138672,196.00999450683594,195.89500427246094,195.90499877929688,195.90499877929688,2367,2023-05-24 09:32:00-04:00
2023-05-24 09:33:00-04:00,195.89500427246094,195.91250610351562,195.6300048828125,195.81500244140625,195.81500244140625,2242,2023-05-24 09:33:00-04:00
2023-05-24 09:34:00-04:00,195.84500122070312,195.85000610351562,195.84500122070312,195.85000610351562,195.85000610351562,1557,2023-05-24 09:34:00-04:00
2023-05-24 09:35:00-04:00,195.72000122070312,195.72999572753906,195.5,195.5,195.5,10877,2023-05-24 09:35:00-04:00
2023-05-24 09:36:00-04:00,195.5,195.5,195.32000732421875,195.32000732421875,195.32000732421875,5776,2023-05-24 09:36:00-04:00
2023-05-24 09:37:00-04:00,195.32000732421875,195.4499969482422,195.17999267578125,195.42999267578125,195.42999267578125,4245,2023-05-24 09:37:00-04:00
2023-05-24 09:39:00-04:00,195.5,195.65499877929688,195.5,195.65499877929688,195.65499877929688,899,2023-05-24 09:39:00-04:00
2023-05-24 09:40:00-04:00,195.6593017578125,195.74000549316406,195.2899932861328,195.29690551757812,195.29690551757812,8216,2023-05-24 09:40:00-04:00
2023-05-24 09:41:00-04:00,195.3292999267578,195.51010131835938,195.3292999267578,195.51010131835938,195.51010131835938,2985,2023-05-24 09:41:00-04:00
2023-05-24 09:42:00-04:00,195.48849487304688,195.48849487304688,195.42999267578125,195.4550018310547,195.4550018310547,1630,2023-05-24 09:42:00-04:00
2023-05-24 09:43:00-04:00,195.49000549316406,195.52999877929688,195.3699951171875,195.40499877929688,195.40499877929688,2317,2023-05-24 09:43:00-04:00
2023-05-24 09:44:00-04:00,195.47000122070312,195.52000427246094,195.4550018310547,195.52000427246094,195.52000427246094,1626,2023-05-24 09:44:00-04:00
2023-05-24 09:45:00-04:00,195.55499267578125,195.6300048828125,195.52000427246094,195.6300048828125,195.6300048828125,2028,2023-05-24 09:45:00-04:00
2023-05-24 09:46:00-04:00,195.39999389648438,195.50999450683594,195.35000610351562,195.43499755859375,195.43499755859375,2947,2023-05-24 09:46:00-04:00
2023-05-24 09:47:00-04:00,195.5449981689453,195.58999633789062,195.43499755859375,195.47999572753906,195.47999572753906,1074,2023-05-24 09:47:00-04:00
2023-05-24 09:48:00-04:00,195.36000061035156,195.3800048828125,195.13999938964844,195.13999938964844,195.13999938964844,9657,2023-05-24 09:48:00-04:00
2023-05-24 09:49:00-04:00,195.06500244140625,195.16000366210938,195.0,195.14500427246094,195.14500427246094,5701,2023-05-24 09:49:00-04:00
2023-05-24 09:50:00-04:00,195.11500549316406,195.27000427246094,195.05909729003906,195.05909729003906,195.05909729003906,2632,2023-05-24 09:50:00-04:00
2023-05-24 09:51:00-04:00,195.1649932861328,195.25,195.1649932861328,195.25,195.25,805,2023-05-24 09:51:00-04:00
2023-05-24 09:52:00-04:00,195.27999877929688,195.27999877929688,195.25999450683594,195.25999450683594,195.25999450683594,1441,2023-05-24 09:52:00-04:00
2023-05-24 09:53:00-04:00,195.25999450683594,195.25999450683594,195.19000244140625,195.22999572753906,195.22999572753906,1008,2023-05-24 09:53:00-04:00
2023-05-24 09:54:00-04:00,195.3300018310547,195.3300018310547,195.24000549316406,195.25,195.25,645,2023-05-24 09:54:00-04:00
2023-05-24 09:55:00-04:00,195.16000366210938,195.22999572753906,195.125,195.22999572753906,195.22999572753906,3415,2023-05-24 09:55:00-04:00
2023-05-24 09:56:00-04:00,195.17999267578125,195.17999267578125,195.10000610351562,195.13999938964844,195.13999938964844,1739,2023-05-24 09:56:00-04:00
2023-05-24 09:57:00-04:00,195.13999938964844,195.22999572753906,195.13999938964844,195.22999572753906,195.22999572753906,877,2023-05-24 09:57:00-04:00
2023-05-24 09:58:00-04:00,195.1699981689453,195.27000427246094,195.1699981689453,195.27000427246094,195.27000427246094,1832,2023-05-24 09:58:00-04:00
2023-05-24 09:59:00-04:00,195.27000427246094,195.36000061035156,195.05999755859375,195.125,195.125,8345,2023-05-24 09:59:00-04:00
